pharmacyID,pharmacyName,Total_Quantity,Hospital_Exclusive_Quantity,Percentage_Hospital_Exclusive
2245,Rxtra,966,161,16.6667
8142,"RX Universal",819,136,16.6056
3651,"Good RX",1494,248,16.5997
3253,Omnicare,748,124,16.5775
1609,"The Compounding Pharmacy",812,134,16.5025
8760,"Discount Drugs",740,122,16.4865
5976,"Pride Pharmacy",1011,166,16.4194
1354,HealthMart,579,95,16.4076
8320,"Adams Drugs",753,123,16.3347
8897,MedSavvy,1035,169,16.3285
1584,Sunwest,852,139,16.3146
9255,PrecisionMed,699,114,16.3090
1386,GenScripts,798,130,16.2907
3303,"Reliable Pharmacy",486,79,16.2551
5480,"Kerr Drug",474,77,16.2447
4707,"Lakeside Pharmacy",942,153,16.2420
2218,Heallergy,967,157,16.2358
2066,"Drug Blend",937,152,16.2220
8737,"RX Express",1000,162,16.2000
5644,"Dakota Drug",840,136,16.1905
3799,"Newday Drug Store",782,126,16.1125
2593,"Health Harvest",751,121,16.1119
8911,"Assured Rx",505,81,16.0396
1925,"Everyday Drugs",793,127,16.0151
1882,PersonalRX,756,121,16.0053
5605,"Compass Health Care",525,84,16.0000
1149,"Modern Health",852,136,15.9624
4251,Sav-On,1433,228,15.9107
5683,"Med-X Drug",516,82,15.8915
7182,"Health Hexa Drugs",837,133,15.8901
3628,"Midtown Express",517,82,15.8607
4326,Pharmanic,798,126,15.7895
8442,"Wellman’s Pharmacy",662,104,15.7100
7985,Centrico,918,144,15.6863
9403,"Pharmaca Integrative",860,134,15.5814
8265,"Pharmacy Alliance",918,143,15.5773
2356,RxToMe,771,120,15.5642
6330,"North East Pharmacy",488,75,15.3689
1396,"Sand Point Pharmacy",898,138,15.3675
4106,"Central Rx",591,90,15.2284
2563,PharmaMed,751,113,15.0466
9324,"Geneva Woods",719,108,15.0209
2822,"Fisher Pharmacy & Gifts",578,86,14.8789
6004,"Longhorn Pharmacy",618,91,14.7249
3176,"Essential Pharmacy",944,139,14.7246
1755,"Health Warehouse",884,130,14.7059
1478,Pocketpills,898,132,14.6993
2906,"Powerhouse Pharmacy",797,117,14.6801
7454,"The Pill Club",585,85,14.5299
1570,"White Pigeon Pharmacy",631,91,14.4216
4905,"Cedra Pharmacy",474,68,14.3460
3810,"Trinity Pharmacy",811,116,14.3033
9387,"Rocky’s Drug",1010,142,14.0594
5626,"Doc Your Dose Pharmacy",1197,168,14.0351
5834,"Vista Pharmacy",857,120,14.0023
8173,"Innovia Drug Stores",777,108,13.8996
7865,OptumRx,1051,146,13.8915
4866,"Pacific Medical",1116,152,13.6201
7435,"Good Life Rx",622,84,13.5048
8824,"Holloway Pharmacy",803,108,13.4496
5155,"Guardian Pharmacy",453,60,13.2450
8109,"Premier Long Term Care Pharm",769,101,13.1339
8349,"Grand Medicine",605,77,12.7273
5144,"Northwest Medication Management",1185,149,12.5738
6863,Wellcare,360,45,12.5000
5947,"Union Center Pharmacy",683,84,12.2987
3352,Wellwise,712,87,12.2191
8594,"Right Drugs",1065,130,12.2066
2847,"Smart Pharmacy",584,71,12.1575
9517,"Pharmacy Partners",571,69,12.0841
2843,"Pharma Street",675,80,11.8519
6717,"DFW Wellness",719,85,11.8220
3570,"Pill Pack",687,81,11.7904
1204,"Family Drug Mart",745,87,11.6779
6840,"First Hill Pharmacy",706,82,11.6147
2449,"Simple Meds",750,87,11.6000
5598,"Southwest Pharmacy",867,100,11.5340
1145,"Spot Rx",797,91,11.4178
9969,"Good Neighbor Pharmacy",694,78,11.2392
4221,"Below Drug",883,99,11.2118
8718,"Family Fare",655,73,11.1450
3469,"Concord Pharmacy",1195,133,11.1297
4749,Lifechek,649,72,11.0940
1891,Welltrack,1075,119,11.0698
6706,"Acculife Drug Stores",662,73,11.0272
1766,"Pharma Best",564,62,10.9929
3287,"Ally Scripts",428,47,10.9813
3724,"Pearl River Pharmacy",529,57,10.7750
9938,MedImpact,481,51,10.6029
5658,Goodness,1142,121,10.5954
8982,"Roosevelt Clinic",831,84,10.1083
8852,"Envolve Health",564,57,10.1064
4827,"Northwest Pharmacy",922,93,10.0868
6611,Medlife,766,75,9.7911
3563,Vitasource,663,64,9.6531
8910,"Pure Care Pharmacy",614,59,9.6091
6728,"GoGo Meds",467,43,9.2077
5929,"Alliance Community",872,79,9.0596
5904,Neighborcare,508,46,9.0551
5350,"Health Element",971,87,8.9598
9645,"Frost Medical Pharmacy",954,84,8.8050
2640,"Dutchtown Pharmacy",659,58,8.8012
6029,"Northport Pharmacy",497,43,8.6519
3104,"Louis And Clark Drug",990,84,8.4848
7887,"The Rx Advocates",952,80,8.4034
2209,"Blink Health",384,32,8.3333
6194,"Bartell Drugs",905,75,8.2873
8891,Neighbors,688,55,7.9942
8628,Zenrx,270,21,7.7778
5960,CareFirst,577,44,7.6256
9139,"Revco Discount Drugs",990,75,7.5758
9325,"Sharp Specialty Pharmacy",550,39,7.0909
6957,"Express Food & Pharmacy",468,30,6.4103
9169,"Lowry’s Prescriptions",723,41,5.6708
4663,"Tru Script",458,16,3.4934
6305,"First Pharmacy",447,4,0.8949
