planName,companyName,Year,Claim_Count
"Edelweiss HealthPlus Policy","Edelweiss General Insurance Co. Ltd.",2022,6
"Edelweiss HealthPlus Policy","Edelweiss General Insurance Co. Ltd.",total,33
Educare,"HDFC ERGO General Insurance Co. Ltd.�",2020,5
Educare,"HDFC ERGO General Insurance Co. Ltd.�",2021,4
Educare,"HDFC ERGO General Insurance Co. Ltd.�",2022,15
Educare,"HDFC ERGO General Insurance Co. Ltd.�",total,24
"Family Care","Bajaj Allianz General Insurance Co. Ltd.�",2020,10
"Family Care","Bajaj Allianz General Insurance Co. Ltd.�",2021,14
"Family Care","Bajaj Allianz General Insurance Co. Ltd.�",2022,15
"Family Care","Bajaj Allianz General Insurance Co. Ltd.�",total,39
"Family Health Optima Accident Care Policy","Star Health and Allied Insurrance Co.",2020,9
"Family Health Optima Accident Care Policy","Star Health and Allied Insurrance Co.",2021,8
"Family Health Optima Accident Care Policy","Star Health and Allied Insurrance Co.",2022,17
"Family Health Optima Accident Care Policy","Star Health and Allied Insurrance Co.",total,34
"Family Health Optima Insurance Plan","Star Health & Allied Insurance Co. Ltd.�",2020,9
"Family Health Optima Insurance Plan","Star Health & Allied Insurance Co. Ltd.�",2021,8
"Family Health Optima Insurance Plan","Star Health & Allied Insurance Co. Ltd.�",2022,11
"Family Health Optima Insurance Plan","Star Health & Allied Insurance Co. Ltd.�",total,28
"Family Health Optima�","Star Health & Allied Insurance Co. Ltd.�",2020,6
"Family Health Optima�","Star Health & Allied Insurance Co. Ltd.�",2021,2
"Family Health Optima�","Star Health & Allied Insurance Co. Ltd.�",2022,8
"Family Health Optima�","Star Health & Allied Insurance Co. Ltd.�",total,16
"Family Medicare Policy","United India Insurance Co. Ltd.",2020,7
"Family Medicare Policy","United India Insurance Co. Ltd.",2021,13
"Family Medicare Policy","United India Insurance Co. Ltd.",2022,7
"Family Medicare Policy","United India Insurance Co. Ltd.",total,27
"Family Medicare Policy","United India Insurance Co.Ltd.",2020,15
"Family Medicare Policy","United India Insurance Co.Ltd.",2021,8
"Family Medicare Policy","United India Insurance Co.Ltd.",2022,13
"Family Medicare Policy","United India Insurance Co.Ltd.",total,36
"Family Shield","ICICI Lombard GI Co. Ltd.",2020,8
"Family Shield","ICICI Lombard GI Co. Ltd.",2021,12
"Family Shield","ICICI Lombard GI Co. Ltd.",2022,10
"Family Shield","ICICI Lombard GI Co. Ltd.",total,30
"Flexi Health Protect(Group)","Bajaj Allianz General Insuarnce Co. Ltd",2020,12
"Flexi Health Protect(Group)","Bajaj Allianz General Insuarnce Co. Ltd",2021,8
"Flexi Health Protect(Group)","Bajaj Allianz General Insuarnce Co. Ltd",2022,8
"Flexi Health Protect(Group)","Bajaj Allianz General Insuarnce Co. Ltd",total,28
"Flexi Max Protect","Cholamandalam MS General Insurance Co. Ltd",2020,9
"Flexi Max Protect","Cholamandalam MS General Insurance Co. Ltd",2021,13
"Flexi Max Protect","Cholamandalam MS General Insurance Co. Ltd",2022,11
"Flexi Max Protect","Cholamandalam MS General Insurance Co. Ltd",total,33
"Future Criticare","Future Generali India Insurance Co. Ltd.",2020,6
"Future Criticare","Future Generali India Insurance Co. Ltd.",2021,12
"Future Criticare","Future Generali India Insurance Co. Ltd.",2022,12
"Future Criticare","Future Generali India Insurance Co. Ltd.",total,30
"Future Health Protect � Group","Future Generali India Insurance Co. Ltd.",2020,13
"Future Health Protect � Group","Future Generali India Insurance Co. Ltd.",2021,7
"Future Health Protect � Group","Future Generali India Insurance Co. Ltd.",2022,9
"Future Health Protect � Group","Future Generali India Insurance Co. Ltd.",total,29
"Future Hospicash","Future Generali India Insurance Co. Ltd.",2020,8
"Future Hospicash","Future Generali India Insurance Co. Ltd.",2021,11
"Future Hospicash","Future Generali India Insurance Co. Ltd.",2022,13
"Future Hospicash","Future Generali India Insurance Co. Ltd.",total,32
"Future Poorna Suraksha � Group","Future Generali India Insurance Co. Ltd.",2020,9
"Future Poorna Suraksha � Group","Future Generali India Insurance Co. Ltd.",2021,13
"Future Poorna Suraksha � Group","Future Generali India Insurance Co. Ltd.",2022,10
"Future Poorna Suraksha � Group","Future Generali India Insurance Co. Ltd.",total,32
"Future Vector Care (Group)","Future Generali India Insurance Company Limited.���",2020,11
"Future Vector Care (Group)","Future Generali India Insurance Company Limited.���",2021,4
"Future Vector Care (Group)","Future Generali India Insurance Company Limited.���",2022,16
"Future Vector Care (Group)","Future Generali India Insurance Company Limited.���",total,31
"Future Vector Care�","Future Generali India Insurance Company Limited.���",2020,3
"Future Vector Care�","Future Generali India Insurance Company Limited.���",2021,7
"Future Vector Care�","Future Generali India Insurance Company Limited.���",2022,9
"Future Vector Care�","Future Generali India Insurance Company Limited.���",total,19
"Globetrotter - Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,6
"Globetrotter - Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,16
"Globetrotter - Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,15
"Globetrotter - Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",total,37
"Globetrotter - Overseas Individual Student Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,15
"Globetrotter - Overseas Individual Student Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,5
"Globetrotter - Overseas Individual Student Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,8
"Globetrotter - Overseas Individual Student Travel Insurance","ICICI Lombard GI Co. Ltd.",total,28
"Grameen Care Plus - Micro Insurance Product","Care Health Insurance Ltd.",2020,9
"Grameen Care Plus - Micro Insurance Product","Care Health Insurance Ltd.",2021,4
"Grameen Care Plus - Micro Insurance Product","Care Health Insurance Ltd.",2022,7
"Grameen Care Plus - Micro Insurance Product","Care Health Insurance Ltd.",total,20
"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd","Star Health & Allied Insurance Co. Ltd.�",2020,6
"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd","Star Health & Allied Insurance Co. Ltd.�",2021,11
"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd","Star Health & Allied Insurance Co. Ltd.�",2022,9
"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd","Star Health & Allied Insurance Co. Ltd.�",total,26
"Group Business Travelers Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2020,7
"Group Business Travelers Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2021,6
"Group Business Travelers Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2022,13
"Group Business Travelers Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",total,26
"Group Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2020,11
"Group Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2021,10
"Group Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2022,15
"Group Corona Kavach Policy","Niva Bupa Health Insurance co ltd",total,36
"Group Credit Health Policy","Go Digit General Insurance Co.Ltd",2020,11
"Group Credit Health Policy","Go Digit General Insurance Co.Ltd",2021,12
"Group Credit Health Policy","Go Digit General Insurance Co.Ltd",2022,11
"Group Credit Health Policy","Go Digit General Insurance Co.Ltd",total,34
"Group Credit Protection Policy","Universal Sompo GIC",2020,16
"Group Credit Protection Policy","Universal Sompo GIC",2021,12
"Group Credit Protection Policy","Universal Sompo GIC",2022,13
"Group Credit Protection Policy","Universal Sompo GIC",total,41
"Group Credit Secure Plus","Tata AIG General Insurance Co. Ltd.",2020,26
"Group Credit Secure Plus","Tata AIG General Insurance Co. Ltd.",2021,27
"Group Credit Secure Plus","Tata AIG General Insurance Co. Ltd.",2022,23
"Group Credit Secure Plus","Tata AIG General Insurance Co. Ltd.",total,76
"Group Easy Travel Senior","HDFC ERGO General Insurance Co. Ltd.�",2020,9
"Group Easy Travel Senior","HDFC ERGO General Insurance Co. Ltd.�",2021,10
"Group Easy Travel Senior","HDFC ERGO General Insurance Co. Ltd.�",2022,7
"Group Easy Travel Senior","HDFC ERGO General Insurance Co. Ltd.�",total,26
"Group Hospi Shield","ICICI Lombard GI Co. Ltd.",2020,9
"Group Hospi Shield","ICICI Lombard GI Co. Ltd.",2021,10
"Group Hospi Shield","ICICI Lombard GI Co. Ltd.",2022,8
"Group Hospi Shield","ICICI Lombard GI Co. Ltd.",total,27
"Group Hospital Cash Policy","Bajaj Allianz General Insurance Co Ltd�",2020,3
"Group Hospital Cash Policy","Bajaj Allianz General Insurance Co Ltd�",2021,6
"Group Hospital Cash Policy","Bajaj Allianz General Insurance Co Ltd�",2022,9
"Group Hospital Cash Policy","Bajaj Allianz General Insurance Co Ltd�",total,18
"Group Hospital Cash Policy","Universal Sompo GIC",2020,12
"Group Hospital Cash Policy","Universal Sompo GIC",2021,11
"Group Hospital Cash Policy","Universal Sompo GIC",2022,14
"Group Hospital Cash Policy","Universal Sompo GIC",total,37
"Group Loan Bima","Future Generali India Insurance Co. Ltd.",2020,9
"Group Loan Bima","Future Generali India Insurance Co. Ltd.",2021,10
"Group Loan Bima","Future Generali India Insurance Co. Ltd.",2022,10
"Group Loan Bima","Future Generali India Insurance Co. Ltd.",total,29
"Group Loan Insurance","Raheja QBE General Insurance Co. Ltd.",2020,9
"Group Loan Insurance","Raheja QBE General Insurance Co. Ltd.",2021,13
"Group Loan Insurance","Raheja QBE General Insurance Co. Ltd.",2022,12
"Group Loan Insurance","Raheja QBE General Insurance Co. Ltd.",total,34
"Group Personal Accident","ICICI Lombard GI Co. Ltd.",2020,7
"Group Personal Accident","ICICI Lombard GI Co. Ltd.",2021,13
"Group Personal Accident","ICICI Lombard GI Co. Ltd.",2022,5
"Group Personal Accident","ICICI Lombard GI Co. Ltd.",total,25
"Group Protect","Aditya Birla Health Insurance Co. Ltd.",2020,8
"Group Protect","Aditya Birla Health Insurance Co. Ltd.",2021,7
"Group Protect","Aditya Birla Health Insurance Co. Ltd.",2022,13
"Group Protect","Aditya Birla Health Insurance Co. Ltd.",total,28
"Group Safeguard Insurance","ICICI Lombard GI Co. Ltd.",2020,10
"Group Safeguard Insurance","ICICI Lombard GI Co. Ltd.",2021,5
"Group Safeguard Insurance","ICICI Lombard GI Co. Ltd.",2022,10
"Group Safeguard Insurance","ICICI Lombard GI Co. Ltd.",total,25
"Group Safeguard Micro Insurance","ICICI Lombard GI Co. Ltd.",2020,7
"Group Safeguard Micro Insurance","ICICI Lombard GI Co. Ltd.",2021,5
"Group Safeguard Micro Insurance","ICICI Lombard GI Co. Ltd.",2022,7
"Group Safeguard Micro Insurance","ICICI Lombard GI Co. Ltd.",total,19
"Group Saral Suraksha Bima-Care Health Insurance","Care Health Insurance Co. Ltd�",2020,9
"Group Saral Suraksha Bima-Care Health Insurance","Care Health Insurance Co. Ltd�",2021,16
"Group Saral Suraksha Bima-Care Health Insurance","Care Health Insurance Co. Ltd�",2022,7
"Group Saral Suraksha Bima-Care Health Insurance","Care Health Insurance Co. Ltd�",total,32
"Group Travel Insurance","HDFC ERGO General Insurance Co. Ltd.�",2020,6
"Group Travel Insurance","HDFC ERGO General Insurance Co. Ltd.�",2021,15
"Group Travel Insurance","HDFC ERGO General Insurance Co. Ltd.�",2022,20
"Group Travel Insurance","HDFC ERGO General Insurance Co. Ltd.�",total,41
"HDFC ERGO Group Health Insurance","HDFC ERGO General Insurance Co. Ltd.�",2020,10
"HDFC ERGO Group Health Insurance","HDFC ERGO General Insurance Co. Ltd.�",2021,8
"HDFC ERGO Group Health Insurance","HDFC ERGO General Insurance Co. Ltd.�",2022,13
"HDFC ERGO Group Health Insurance","HDFC ERGO General Insurance Co. Ltd.�",total,31
"Health Booster","ICICI Lombard GI Co. Ltd.",2020,7
"Health Booster","ICICI Lombard GI Co. Ltd.",2021,8
"Health Booster","ICICI Lombard GI Co. Ltd.",2022,6
"Health Booster","ICICI Lombard GI Co. Ltd.",total,21
"Health Insurance Policy � Retail","SBI General Insurance Co.Ltd.",2020,11
"Health Insurance Policy � Retail","SBI General Insurance Co.Ltd.",2021,6
"Health Insurance Policy � Retail","SBI General Insurance Co.Ltd.",2022,7
"Health Insurance Policy � Retail","SBI General Insurance Co.Ltd.",total,24
"Health Plus","Niva Bupa Health Insurance co ltd",2020,9
"Health Plus","Niva Bupa Health Insurance co ltd",2021,8
"Health Plus","Niva Bupa Health Insurance co ltd",2022,13
"Health Plus","Niva Bupa Health Insurance co ltd",total,30
"Health Prime -Rider for Health Products","Bajaj Allianz General Insuarnce Co. Ltd",2020,8
"Health Prime -Rider for Health Products","Bajaj Allianz General Insuarnce Co. Ltd",2021,11
"Health Prime -Rider for Health Products","Bajaj Allianz General Insuarnce Co. Ltd",2022,8
"Health Prime -Rider for Health Products","Bajaj Allianz General Insuarnce Co. Ltd",total,27
"Health Prime (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2020,10
"Health Prime (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2021,6
"Health Prime (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2022,9
"Health Prime (Group)","Bajaj Allianz General Insuarnce Co. Ltd",total,25
"Health Pulse","Niva Bupa Health Insurance co ltd",2020,6
"Health Pulse","Niva Bupa Health Insurance co ltd",2021,8
"Health Pulse","Niva Bupa Health Insurance co ltd",2022,12
"Health Pulse","Niva Bupa Health Insurance co ltd",total,26
"Health Recharge�","Niva Bupa Health Insurance co ltd",2020,10
"Health Recharge�","Niva Bupa Health Insurance co ltd",2021,7
"Health Recharge�","Niva Bupa Health Insurance co ltd",2022,8
"Health Recharge�","Niva Bupa Health Insurance co ltd",total,25
"Health Shield 360","ICICI Lombard GI Co. Ltd.",2020,5
"Health Shield 360","ICICI Lombard GI Co. Ltd.",2021,6
"Health Shield 360","ICICI Lombard GI Co. Ltd.",2022,12
"Health Shield 360","ICICI Lombard GI Co. Ltd.",total,23
"Health Total","Future Generali Indis Insurance Co. Ltd",2020,7
"Health Total","Future Generali Indis Insurance Co. Ltd",2021,11
"Health Total","Future Generali Indis Insurance Co. Ltd",2022,7
"Health Total","Future Generali Indis Insurance Co. Ltd",total,25
"Home Care Treatment","Cholamandalam MS General Insurance Co. Ltd.",2020,7
"Home Care Treatment","Cholamandalam MS General Insurance Co. Ltd.",2021,9
"Home Care Treatment","Cholamandalam MS General Insurance Co. Ltd.",2022,7
"Home Care Treatment","Cholamandalam MS General Insurance Co. Ltd.",total,23
"Home Credit Assure Package Insurance","HDFC ERGO General Insurance Co. Ltd.�",2020,8
"Home Credit Assure Package Insurance","HDFC ERGO General Insurance Co. Ltd.�",2021,9
"Home Credit Assure Package Insurance","HDFC ERGO General Insurance Co. Ltd.�",2022,10
"Home Credit Assure Package Insurance","HDFC ERGO General Insurance Co. Ltd.�",total,27
"Hospital Daily Cash -Group","SBI General Insurance Co.Ltd.",2020,14
"Hospital Daily Cash -Group","SBI General Insurance Co.Ltd.",2021,9
"Hospital Daily Cash -Group","SBI General Insurance Co.Ltd.",2022,14
"Hospital Daily Cash -Group","SBI General Insurance Co.Ltd.",total,37
"ICICI LOMBARD COMPLETE HEALTH INSURANCE","ICICI Lombard GI Co. Ltd.",2020,10
"ICICI LOMBARD COMPLETE HEALTH INSURANCE","ICICI Lombard GI Co. Ltd.",2021,11
"ICICI LOMBARD COMPLETE HEALTH INSURANCE","ICICI Lombard GI Co. Ltd.",2022,13
"ICICI LOMBARD COMPLETE HEALTH INSURANCE","ICICI Lombard GI Co. Ltd.",total,34
"Income Protect","ICICI Lombard GI Co. Ltd.",2020,10
"Income Protect","ICICI Lombard GI Co. Ltd.",2021,5
"Income Protect","ICICI Lombard GI Co. Ltd.",2022,8
"Income Protect","ICICI Lombard GI Co. Ltd.",total,23
"International Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,11
"International Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,9
"International Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,5
"International Travel Insurance","ICICI Lombard GI Co. Ltd.",total,25
"IRCTC Air Care Policy","Bajaj Allianz General Insurance Co Ltd�",2020,6
"IRCTC Air Care Policy","Bajaj Allianz General Insurance Co Ltd�",2021,11
"IRCTC Air Care Policy","Bajaj Allianz General Insurance Co Ltd�",2022,9
"IRCTC Air Care Policy","Bajaj Allianz General Insurance Co Ltd�",total,26
"Janata Personal Accident","ICICI Lombard GI Co. Ltd.",2020,13
"Janata Personal Accident","ICICI Lombard GI Co. Ltd.",2021,4
"Janata Personal Accident","ICICI Lombard GI Co. Ltd.",2022,13
"Janata Personal Accident","ICICI Lombard GI Co. Ltd.",total,30
"Kotak Accident Care","Kotak Mahindra General Insurance Co. Ltd.",2020,11
"Kotak Accident Care","Kotak Mahindra General Insurance Co. Ltd.",2021,7
"Kotak Accident Care","Kotak Mahindra General Insurance Co. Ltd.",2022,18
"Kotak Accident Care","Kotak Mahindra General Insurance Co. Ltd.",total,36
"Kotak Group Accident Protect","Kotak Mahindra General Insurance Company Ltd.",2020,6
"Kotak Group Accident Protect","Kotak Mahindra General Insurance Company Ltd.",2021,13
"Kotak Group Accident Protect","Kotak Mahindra General Insurance Company Ltd.",2022,10
"Kotak Group Accident Protect","Kotak Mahindra General Insurance Company Ltd.",total,29
"Kotak Group Accident Protect - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2020,9
"Kotak Group Accident Protect - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2021,10
"Kotak Group Accident Protect - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2022,11
"Kotak Group Accident Protect - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",total,30
"Kotak Group Health Assure","Kotak Mahindra General Insurance Co. Ltd.",2020,14
"Kotak Group Health Assure","Kotak Mahindra General Insurance Co. Ltd.",2021,8
"Kotak Group Health Assure","Kotak Mahindra General Insurance Co. Ltd.",2022,8
"Kotak Group Health Assure","Kotak Mahindra General Insurance Co. Ltd.",total,30
"Kotak Group Secure Shield","Kotak Mahindra General Insurance Company Ltd.",2020,10
"Kotak Group Secure Shield","Kotak Mahindra General Insurance Company Ltd.",2021,6
"Kotak Group Secure Shield","Kotak Mahindra General Insurance Company Ltd.",2022,3
"Kotak Group Secure Shield","Kotak Mahindra General Insurance Company Ltd.",total,19
"Kotak Group Secure Shield - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2020,11
"Kotak Group Secure Shield - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2021,8
"Kotak Group Secure Shield - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",2022,14
"Kotak Group Secure Shield - Micro Insurance","Kotak Mahindra General Insurance Company Ltd.",total,33
"Kotak Secure Shield","Kotak Mahindra General Insurance Co. Ltd.",2020,13
"Kotak Secure Shield","Kotak Mahindra General Insurance Co. Ltd.",2021,13
"Kotak Secure Shield","Kotak Mahindra General Insurance Co. Ltd.",2022,7
"Kotak Secure Shield","Kotak Mahindra General Insurance Co. Ltd.",total,33
"Loan Secure Insurance Policy","Universal Sompo GIC",2020,12
"Loan Secure Insurance Policy","Universal Sompo GIC",2021,8
"Loan Secure Insurance Policy","Universal Sompo GIC",2022,5
"Loan Secure Insurance Policy","Universal Sompo GIC",total,25
"M Care (Group)","Bajaj Allianz General Insurance Co. Ltd.�",2020,11
"M Care (Group)","Bajaj Allianz General Insurance Co. Ltd.�",2021,7
"M Care (Group)","Bajaj Allianz General Insurance Co. Ltd.�",2022,13
"M Care (Group)","Bajaj Allianz General Insurance Co. Ltd.�",total,31
"M Care�","Bajaj Allianz General Insurance Co. Ltd.�",2020,7
"M Care�","Bajaj Allianz General Insurance Co. Ltd.�",2021,7
"M Care�","Bajaj Allianz General Insurance Co. Ltd.�",2022,14
"M Care�","Bajaj Allianz General Insurance Co. Ltd.�",total,28
"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)","United India Insurance Co. Ltd.",2020,6
