pharmacyID,pharmacyName,Min_Prescribe,Max_Prescribe,Avg_Prescribe
8829,"Lyfe Pharmacy",1,8,4
8982,"Roosevelt Clinic",1,8,4
9255,PrecisionMed,1,8,4
9387,"Rocky’s Drug",1,8,4
9675,"Customceutical Compounding",1,8,4
9869,"Health Aura",1,8,4
1194,"Foundation Care",1,7,4
3799,"Newday Drug Store",1,7,4
8718,"Family Fare",1,7,4
9969,"Good Neighbor Pharmacy",1,7,4
