pharmacyid,PharmacyName,"Total Medicine","Total MRP of All Medicine","Total Price After Discount"
5100,"Eastlake Pharmacy",1088468,456142843,409387606
5271,"Eastside Pharmacy and Compounding",489973,218550582,176632166
5155,"Guardian Pharmacy",670032,218308178,180062886
4380,"Healthy Floyds",1693317,646625781,516631678
8173,"Innovia Drug Stores",1922834,2309061430,1756791802
9800,"Maplewood Pharmacy",1748927,582705199,524746272
5683,"Med-X Drug",426057,387430056,312316860
5144,"Northwest Medication Management",150455,35303902,33930950
3724,"Pearl River Pharmacy",253392,52413106,46720928
8910,"Pure Care Pharmacy",1307268,679575479,556269606
1332,"Rite Aid",1407054,621922243,528323223
2245,Rxtra,25847,277038,235401
3352,Wellwise,686053,248055611,220353302
1570,"White Pigeon Pharmacy",918483,323081002,265083020
