pharmacyID,pharmacyName,diseaseID,diseaseName,prescription_count_2021,prescription_count_2022
2218,Heallergy,6,Atherosclerosis,1,1
2218,Heallergy,27,"Multiple sclerosis",1,1
2245,Rxtra,14,"Crohn's disease",2,1
2245,Rxtra,3,"Anorexia nervosa",1,1
2245,Rxtra,5,Asthma,1,1
2245,Rxtra,29,Obesity,1,1
2245,Rxtra,37,Stroke,1,1
2301,HealthDirect,11,Cancer,3,1
2301,HealthDirect,27,"Multiple sclerosis",1,2
2301,HealthDirect,16,Dementia,1,1
2301,HealthDirect,25,Lupus,1,1
2301,HealthDirect,37,Stroke,1,1
2301,HealthDirect,39,"Tourette syndrome",1,1
2356,RxToMe,12,"Chronic fatigue syndrome",1,1
2356,RxToMe,18,"Diabetes mellitus type 1",1,1
2356,RxToMe,28,"Myocardial infarction",1,1
2416,"Max Health",12,"Chronic fatigue syndrome",2,1
2416,"Max Health",13,"Chronic obstructive pulmonary disease",2,1
2416,"Max Health",39,"Tourette syndrome",2,1
2416,"Max Health",1,"Alzheimer's disease",1,2
2416,"Max Health",9,"Autoimmune diseases",1,1
2416,"Max Health",15,"Coronary heart disease",1,1
2416,"Max Health",28,"Myocardial infarction",1,1
2416,"Max Health",34,"Rheumatoid arthritis",1,1
2426,"Lifeshave Pharmacy",1,"Alzheimer's disease",1,1
2426,"Lifeshave Pharmacy",2,"Amyotrophic lateral sclerosis",1,1
2426,"Lifeshave Pharmacy",3,"Anorexia nervosa",1,1
2426,"Lifeshave Pharmacy",10,"Bipolar disorder",1,1
2426,"Lifeshave Pharmacy",26,"Metabolic syndrome",1,1
2449,"Simple Meds",7,"Attention deficit hyperactivity disorder",1,1
2449,"Simple Meds",10,"Bipolar disorder",1,1
2449,"Simple Meds",11,Cancer,1,1
2563,PharmaMed,38,"Thromboangiitis obliterans",2,2
2563,PharmaMed,27,"Multiple sclerosis",1,1
2563,PharmaMed,34,"Rheumatoid arthritis",1,1
2593,"Health Harvest",7,"Attention deficit hyperactivity disorder",3,1
2593,"Health Harvest",5,Asthma,1,2
2593,"Health Harvest",26,"Metabolic syndrome",1,2
2593,"Health Harvest",31,"Panic disorder",1,2
2593,"Health Harvest",4,"Anxiety disorder",1,1
2640,"Dutchtown Pharmacy",29,Obesity,1,2
2640,"Dutchtown Pharmacy",5,Asthma,1,1
2640,"Dutchtown Pharmacy",11,Cancer,1,1
2640,"Dutchtown Pharmacy",31,"Panic disorder",1,1
2640,"Dutchtown Pharmacy",35,Sarcoidosis,1,1
2821,Wellfresh,10,"Bipolar disorder",1,1
2821,Wellfresh,31,"Panic disorder",1,1
2821,Wellfresh,40,Vasculitis,1,1
2822,"Fisher Pharmacy & Gifts",23,"Irritable bowel syndrome",2,1
2822,"Fisher Pharmacy & Gifts",6,Atherosclerosis,1,1
2822,"Fisher Pharmacy & Gifts",15,"Coronary heart disease",1,1
2822,"Fisher Pharmacy & Gifts",20,"Dilated cardiomyopathy",1,1
2822,"Fisher Pharmacy & Gifts",24,"Low back pain",1,1
2822,"Fisher Pharmacy & Gifts",29,Obesity,1,1
2836,"Discount Drug Mart",21,Epilepsy,2,1
2836,"Discount Drug Mart",22,"Guillain–Barré syndrome",1,2
2836,"Discount Drug Mart",25,Lupus,1,2
2836,"Discount Drug Mart",38,"Thromboangiitis obliterans",1,2
2836,"Discount Drug Mart",23,"Irritable bowel syndrome",1,1
2836,"Discount Drug Mart",24,"Low back pain",1,1
2836,"Discount Drug Mart",29,Obesity,1,1
2843,"Pharma Street",21,Epilepsy,2,2
2843,"Pharma Street",18,"Diabetes mellitus type 1",1,1
2843,"Pharma Street",20,"Dilated cardiomyopathy",1,1
2843,"Pharma Street",30,"Obsessive–compulsive disorder",1,1
2847,"Smart Pharmacy",17,Depression,1,2
2847,"Smart Pharmacy",2,"Amyotrophic lateral sclerosis",1,1
2847,"Smart Pharmacy",14,"Crohn's disease",1,1
2847,"Smart Pharmacy",18,"Diabetes mellitus type 1",1,1
2906,"Powerhouse Pharmacy",8,Autism,1,3
2906,"Powerhouse Pharmacy",11,Cancer,1,1
2906,"Powerhouse Pharmacy",22,"Guillain–Barré syndrome",1,1
2906,"Powerhouse Pharmacy",27,"Multiple sclerosis",1,1
2906,"Powerhouse Pharmacy",31,"Panic disorder",1,1
2906,"Powerhouse Pharmacy",32,"Parkinson's disease",1,1
3104,"Louis And Clark Drug",6,Atherosclerosis,2,1
3104,"Louis And Clark Drug",13,"Chronic obstructive pulmonary disease",1,1
3104,"Louis And Clark Drug",16,Dementia,1,1
3104,"Louis And Clark Drug",27,"Multiple sclerosis",1,1
3104,"Louis And Clark Drug",32,"Parkinson's disease",1,1
3104,"Louis And Clark Drug",34,"Rheumatoid arthritis",1,1
3176,"Essential Pharmacy",8,Autism,1,2
3176,"Essential Pharmacy",17,Depression,1,1
3253,Omnicare,7,"Attention deficit hyperactivity disorder",1,2
3253,Omnicare,27,"Multiple sclerosis",1,1
3287,"Ally Scripts",33,Psoriasis,1,1
3303,"Reliable Pharmacy",21,Epilepsy,1,2
3303,"Reliable Pharmacy",23,"Irritable bowel syndrome",1,1
3303,"Reliable Pharmacy",25,Lupus,1,1
3303,"Reliable Pharmacy",32,"Parkinson's disease",1,1
3348,MedMinder,3,"Anorexia nervosa",1,1
3352,Wellwise,13,"Chronic obstructive pulmonary disease",2,2
3352,Wellwise,25,Lupus,2,1
3352,Wellwise,5,Asthma,1,1
3352,Wellwise,27,"Multiple sclerosis",1,1
3352,Wellwise,28,"Myocardial infarction",1,1
3469,"Concord Pharmacy",37,Stroke,2,1
3469,"Concord Pharmacy",18,"Diabetes mellitus type 1",1,3
3469,"Concord Pharmacy",14,"Crohn's disease",1,2
3469,"Concord Pharmacy",27,"Multiple sclerosis",1,2
3469,"Concord Pharmacy",9,"Autoimmune diseases",1,1
3469,"Concord Pharmacy",30,"Obsessive–compulsive disorder",1,1
3515,"Wellport Drugs",37,Stroke,2,1
3515,"Wellport Drugs",21,Epilepsy,1,2
3515,"Wellport Drugs",20,"Dilated cardiomyopathy",1,1
3515,"Wellport Drugs",40,Vasculitis,1,1
3536,"Outpatient Pharmacy",20,"Dilated cardiomyopathy",2,2
3536,"Outpatient Pharmacy",36,Schizophrenia,2,1
3536,"Outpatient Pharmacy",11,Cancer,1,1
3536,"Outpatient Pharmacy",19,"Diabetes mellitus type 2",1,1
3536,"Outpatient Pharmacy",24,"Low back pain",1,1
3536,"Outpatient Pharmacy",39,"Tourette syndrome",1,1
3563,Vitasource,8,Autism,2,1
3570,"Pill Pack",17,Depression,1,1
3628,"Midtown Express",18,"Diabetes mellitus type 1",1,1
3628,"Midtown Express",24,"Low back pain",1,1
3628,"Midtown Express",25,Lupus,1,1
3628,"Midtown Express",28,"Myocardial infarction",1,1
3628,"Midtown Express",33,Psoriasis,1,1
3628,"Midtown Express",36,Schizophrenia,1,1
3651,"Good RX",30,"Obsessive–compulsive disorder",2,1
3651,"Good RX",12,"Chronic fatigue syndrome",1,2
3651,"Good RX",13,"Chronic obstructive pulmonary disease",1,2
3651,"Good RX",5,Asthma,1,1
3651,"Good RX",6,Atherosclerosis,1,1
3651,"Good RX",7,"Attention deficit hyperactivity disorder",1,1
3651,"Good RX",17,Depression,1,1
3651,"Good RX",36,Schizophrenia,1,1
3673,"Pharmacy Express",12,"Chronic fatigue syndrome",1,2
3673,"Pharmacy Express",36,Schizophrenia,1,2
3673,"Pharmacy Express",3,"Anorexia nervosa",1,1
3673,"Pharmacy Express",9,"Autoimmune diseases",1,1
3673,"Pharmacy Express",10,"Bipolar disorder",1,1
3673,"Pharmacy Express",11,Cancer,1,1
3673,"Pharmacy Express",22,"Guillain–Barré syndrome",1,1
3673,"Pharmacy Express",31,"Panic disorder",1,1
3673,"Pharmacy Express",33,Psoriasis,1,1
3703,"Bioplus Specialty",29,Obesity,3,1
3703,"Bioplus Specialty",3,"Anorexia nervosa",1,1
3703,"Bioplus Specialty",14,"Crohn's disease",1,1
3724,"Pearl River Pharmacy",19,"Diabetes mellitus type 2",1,2
3724,"Pearl River Pharmacy",15,"Coronary heart disease",1,1
3724,"Pearl River Pharmacy",17,Depression,1,1
3799,"Newday Drug Store",18,"Diabetes mellitus type 1",1,4
3799,"Newday Drug Store",9,"Autoimmune diseases",1,1
3799,"Newday Drug Store",29,Obesity,1,1
3799,"Newday Drug Store",40,Vasculitis,1,1
3803,"First Care Rx",31,"Panic disorder",1,3
3803,"First Care Rx",18,"Diabetes mellitus type 1",1,1
3803,"First Care Rx",39,"Tourette syndrome",1,1
3810,"Trinity Pharmacy",14,"Crohn's disease",2,1
3810,"Trinity Pharmacy",34,"Rheumatoid arthritis",2,1
3810,"Trinity Pharmacy",20,"Dilated cardiomyopathy",1,2
3810,"Trinity Pharmacy",4,"Anxiety disorder",1,1
3810,"Trinity Pharmacy",7,"Attention deficit hyperactivity disorder",1,1
3831,"Health Mart",12,"Chronic fatigue syndrome",2,2
3831,"Health Mart",22,"Guillain–Barré syndrome",1,1
3831,"Health Mart",26,"Metabolic syndrome",1,1
3831,"Health Mart",28,"Myocardial infarction",1,1
4025,"Keystone Pharmacy",16,Dementia,1,3
4025,"Keystone Pharmacy",4,"Anxiety disorder",1,1
4025,"Keystone Pharmacy",12,"Chronic fatigue syndrome",1,1
4106,"Central Rx",22,"Guillain–Barré syndrome",1,2
4106,"Central Rx",36,Schizophrenia,1,2
4106,"Central Rx",5,Asthma,1,1
4106,"Central Rx",16,Dementia,1,1
4106,"Central Rx",19,"Diabetes mellitus type 2",1,1
4106,"Central Rx",23,"Irritable bowel syndrome",1,1
4106,"Central Rx",33,Psoriasis,1,1
4106,"Central Rx",37,Stroke,1,1
4106,"Central Rx",39,"Tourette syndrome",1,1
4137,MedOne,11,Cancer,2,1
4137,MedOne,6,Atherosclerosis,1,2
4137,MedOne,4,"Anxiety disorder",1,1
4137,MedOne,24,"Low back pain",1,1
4137,MedOne,27,"Multiple sclerosis",1,1
4137,MedOne,29,Obesity,1,1
4221,"Below Drug",14,"Crohn's disease",2,2
4221,"Below Drug",10,"Bipolar disorder",1,1
4221,"Below Drug",16,Dementia,1,1
4221,"Below Drug",27,"Multiple sclerosis",1,1
4221,"Below Drug",38,"Thromboangiitis obliterans",1,1
4251,Sav-On,36,Schizophrenia,3,1
4251,Sav-On,12,"Chronic fatigue syndrome",2,1
4251,Sav-On,19,"Diabetes mellitus type 2",1,2
4251,Sav-On,7,"Attention deficit hyperactivity disorder",1,1
4251,Sav-On,21,Epilepsy,1,1
4251,Sav-On,29,Obesity,1,1
4269,"Cardinal Health",17,Depression,3,1
4269,"Cardinal Health",8,Autism,1,1
4269,"Cardinal Health",30,"Obsessive–compulsive disorder",1,1
4326,Pharmanic,8,Autism,2,1
4326,Pharmanic,3,"Anorexia nervosa",1,2
4326,Pharmanic,26,"Metabolic syndrome",1,2
4326,Pharmanic,13,"Chronic obstructive pulmonary disease",1,1
4326,Pharmanic,18,"Diabetes mellitus type 1",1,1
4380,"Healthy Floyds",19,"Diabetes mellitus type 2",1,2
4380,"Healthy Floyds",3,"Anorexia nervosa",1,1
4636,"Hometown Pharmacy Services",10,"Bipolar disorder",1,1
4636,"Hometown Pharmacy Services",40,Vasculitis,1,1
4647,Goodstart,16,Dementia,1,2
4647,Goodstart,33,Psoriasis,1,1
4647,Goodstart,40,Vasculitis,1,1
4663,"Tru Script",20,"Dilated cardiomyopathy",2,1
4663,"Tru Script",28,"Myocardial infarction",2,1
4707,"Lakeside Pharmacy",21,Epilepsy,1,2
4707,"Lakeside Pharmacy",13,"Chronic obstructive pulmonary disease",1,1
4707,"Lakeside Pharmacy",34,"Rheumatoid arthritis",1,1
4749,Lifechek,36,Schizophrenia,1,2
4749,Lifechek,10,"Bipolar disorder",1,1
4749,Lifechek,34,"Rheumatoid arthritis",1,1
4749,Lifechek,40,Vasculitis,1,1
4827,"Northwest Pharmacy",34,"Rheumatoid arthritis",2,1
4827,"Northwest Pharmacy",36,Schizophrenia,2,1
4827,"Northwest Pharmacy",4,"Anxiety disorder",1,1
4827,"Northwest Pharmacy",21,Epilepsy,1,1
4827,"Northwest Pharmacy",26,"Metabolic syndrome",1,1
4827,"Northwest Pharmacy",27,"Multiple sclerosis",1,1
4827,"Northwest Pharmacy",35,Sarcoidosis,1,1
4827,"Northwest Pharmacy",39,"Tourette syndrome",1,1
4827,"Northwest Pharmacy",40,Vasculitis,1,1
4866,"Pacific Medical",35,Sarcoidosis,2,1
4866,"Pacific Medical",37,Stroke,2,1
4866,"Pacific Medical",2,"Amyotrophic lateral sclerosis",1,1
4866,"Pacific Medical",8,Autism,1,1
4866,"Pacific Medical",19,"Diabetes mellitus type 2",1,1
4866,"Pacific Medical",21,Epilepsy,1,1
4891,Medisuite,6,Atherosclerosis,2,2
4891,Medisuite,31,"Panic disorder",2,1
4891,Medisuite,34,"Rheumatoid arthritis",1,1
4905,"Cedra Pharmacy",2,"Amyotrophic lateral sclerosis",1,1
4905,"Cedra Pharmacy",3,"Anorexia nervosa",1,1
4905,"Cedra Pharmacy",23,"Irritable bowel syndrome",1,1
4905,"Cedra Pharmacy",26,"Metabolic syndrome",1,1
4938,"University Pharmacy",39,"Tourette syndrome",2,1
4938,"University Pharmacy",11,Cancer,1,1
4938,"University Pharmacy",18,"Diabetes mellitus type 1",1,1
4996,"Banks Apothecary",10,"Bipolar disorder",2,1
4996,"Banks Apothecary",26,"Metabolic syndrome",2,1
4996,"Banks Apothecary",23,"Irritable bowel syndrome",1,1
4996,"Banks Apothecary",31,"Panic disorder",1,1
5058,"Bio Scrip",12,"Chronic fatigue syndrome",2,1
5058,"Bio Scrip",14,"Crohn's disease",2,1
5058,"Bio Scrip",38,"Thromboangiitis obliterans",1,3
5058,"Bio Scrip",22,"Guillain–Barré syndrome",1,2
5058,"Bio Scrip",33,Psoriasis,1,2
5058,"Bio Scrip",16,Dementia,1,1
5058,"Bio Scrip",24,"Low back pain",1,1
5058,"Bio Scrip",25,Lupus,1,1
5058,"Bio Scrip",40,Vasculitis,1,1
5100,"Eastlake Pharmacy",21,Epilepsy,3,1
5100,"Eastlake Pharmacy",19,"Diabetes mellitus type 2",2,1
5100,"Eastlake Pharmacy",36,Schizophrenia,1,2
5100,"Eastlake Pharmacy",14,"Crohn's disease",1,1
5144,"Northwest Medication Management",26,"Metabolic syndrome",1,3
5144,"Northwest Medication Management",34,"Rheumatoid arthritis",1,3
5144,"Northwest Medication Management",28,"Myocardial infarction",1,2
5144,"Northwest Medication Management",11,Cancer,1,1
5144,"Northwest Medication Management",21,Epilepsy,1,1
5144,"Northwest Medication Management",40,Vasculitis,1,1
5155,"Guardian Pharmacy",9,"Autoimmune diseases",1,1
5155,"Guardian Pharmacy",16,Dementia,1,1
5155,"Guardian Pharmacy",32,"Parkinson's disease",1,1
5155,"Guardian Pharmacy",33,Psoriasis,1,1
5200,"Heartland Pharmacy",14,"Crohn's disease",1,2
5200,"Heartland Pharmacy",1,"Alzheimer's disease",1,1
5200,"Heartland Pharmacy",18,"Diabetes mellitus type 1",1,1
5200,"Heartland Pharmacy",34,"Rheumatoid arthritis",1,1
5246,"Better Life",33,Psoriasis,1,1
5271,"Eastside Pharmacy and Compounding",13,"Chronic obstructive pulmonary disease",4,1
5271,"Eastside Pharmacy and Compounding",39,"Tourette syndrome",1,2
5271,"Eastside Pharmacy and Compounding",3,"Anorexia nervosa",1,1
5271,"Eastside Pharmacy and Compounding",16,Dementia,1,1
5271,"Eastside Pharmacy and Compounding",24,"Low back pain",1,1
5294,"The Chemist",32,"Parkinson's disease",2,1
5294,"The Chemist",7,"Attention deficit hyperactivity disorder",1,1
5294,"The Chemist",12,"Chronic fatigue syndrome",1,1
5294,"The Chemist",23,"Irritable bowel syndrome",1,1
5294,"The Chemist",29,Obesity,1,1
5294,"The Chemist",30,"Obsessive–compulsive disorder",1,1
5350,"Health Element",33,Psoriasis,1,1
5350,"Health Element",40,Vasculitis,1,1
5381,"Pharma First",10,"Bipolar disorder",1,1
5381,"Pharma First",20,"Dilated cardiomyopathy",1,1
5381,"Pharma First",39,"Tourette syndrome",1,1
5403,"Confidential Drug",29,Obesity,2,2
5403,"Confidential Drug",11,Cancer,1,1
5403,"Confidential Drug",36,Schizophrenia,1,1
5450,"Reliable Rexall",22,"Guillain–Barré syndrome",1,2
5450,"Reliable Rexall",13,"Chronic obstructive pulmonary disease",1,1
5450,"Reliable Rexall",35,Sarcoidosis,1,1
5480,"Kerr Drug",7,"Attention deficit hyperactivity disorder",1,1
5480,"Kerr Drug",25,Lupus,1,1
5480,"Kerr Drug",27,"Multiple sclerosis",1,1
5527,"Providence Plaza",13,"Chronic obstructive pulmonary disease",2,1
5527,"Providence Plaza",29,Obesity,1,2
5527,"Providence Plaza",4,"Anxiety disorder",1,1
5527,"Providence Plaza",10,"Bipolar disorder",1,1
5527,"Providence Plaza",12,"Chronic fatigue syndrome",1,1
5527,"Providence Plaza",14,"Crohn's disease",1,1
5531,Wellocity,22,"Guillain–Barré syndrome",2,1
5531,Wellocity,3,"Anorexia nervosa",1,2
5531,Wellocity,18,"Diabetes mellitus type 1",1,2
5531,Wellocity,19,"Diabetes mellitus type 2",1,2
5531,Wellocity,5,Asthma,1,1
5531,Wellocity,6,Atherosclerosis,1,1
5531,Wellocity,7,"Attention deficit hyperactivity disorder",1,1
5531,Wellocity,37,Stroke,1,1
5531,Wellocity,39,"Tourette syndrome",1,1
5564,"Publix Pharmacy",21,Epilepsy,2,1
5564,"Publix Pharmacy",3,"Anorexia nervosa",1,1
5564,"Publix Pharmacy",18,"Diabetes mellitus type 1",1,1
5564,"Publix Pharmacy",38,"Thromboangiitis obliterans",1,1
5565,"Health Hub",6,Atherosclerosis,2,1
5565,"Health Hub",12,"Chronic fatigue syndrome",1,2
5565,"Health Hub",8,Autism,1,1
5565,"Health Hub",13,"Chronic obstructive pulmonary disease",1,1
5598,"Southwest Pharmacy",8,Autism,3,1
5598,"Southwest Pharmacy",1,"Alzheimer's disease",1,1
5598,"Southwest Pharmacy",38,"Thromboangiitis obliterans",1,1
5605,"Compass Health Care",35,Sarcoidosis,2,1
5605,"Compass Health Care",8,Autism,1,1
5605,"Compass Health Care",19,"Diabetes mellitus type 2",1,1
5605,"Compass Health Care",28,"Myocardial infarction",1,1
5605,"Compass Health Care",36,Schizophrenia,1,1
5626,"Doc Your Dose Pharmacy",25,Lupus,2,1
5626,"Doc Your Dose Pharmacy",6,Atherosclerosis,1,3
5626,"Doc Your Dose Pharmacy",28,"Myocardial infarction",1,1
5644,"Dakota Drug",8,Autism,1,1
5644,"Dakota Drug",17,Depression,1,1
5644,"Dakota Drug",40,Vasculitis,1,1
5658,Goodness,30,"Obsessive–compulsive disorder",2,1
5658,Goodness,2,"Amyotrophic lateral sclerosis",1,1
5658,Goodness,15,"Coronary heart disease",1,1
5658,Goodness,34,"Rheumatoid arthritis",1,1
5659,"True Pill",6,Atherosclerosis,3,1
5659,"True Pill",10,"Bipolar disorder",3,1
5659,"True Pill",15,"Coronary heart disease",2,1
5659,"True Pill",40,Vasculitis,2,1
5659,"True Pill",1,"Alzheimer's disease",1,2
5659,"True Pill",21,Epilepsy,1,2
5659,"True Pill",8,Autism,1,1
5659,"True Pill",11,Cancer,1,1
