diseaseID,planName,plan_claimed,Plan_Count
2,"Family Health Optima Insurance Plan",1,8
2,"Family Medicare Policy",1,9
2,"Family Shield",1,10
2,"Flexi Health Protect(Group)",1,11
2,"Flexi Max Protect",1,12
2,"Future Hospicash",1,13
2,"Future Vector Care (Group)",1,14
2,"Future Vector Care�",1,15
2,"Grameen Care Plus - Micro Insurance Product",1,16
2,"Group Corona Kavach Policy",1,17
2,"Group Credit Secure Plus",1,18
2,"Group Personal Accident",1,19
2,"Group Protect",1,20
2,"Group Safeguard Insurance",1,21
2,"Group Saral Suraksha Bima-Care Health Insurance",1,22
2,"HDFC ERGO Group Health Insurance",1,23
2,"Health Booster",1,24
2,"Health Insurance Policy � Retail",1,25
2,"Health Plus",1,26
2,"Health Prime -Rider for Health Products",1,27
2,"Home Care Treatment",1,28
2,"Hospital Daily Cash -Group",1,29
2,"International Travel Insurance",1,30
2,"IRCTC Air Care Policy",1,31
2,"Janata Personal Accident",1,32
2,"Kotak Accident Care",1,33
2,"Kotak Group Accident Protect - Micro Insurance",1,34
2,"Kotak Group Health Assure",1,35
2,"Kotak Group Secure Shield - Micro Insurance",1,36
2,"Kotak Secure Shield",1,37
2,"M Care�",1,38
2,"my:health�Critical Illness (Add On)",1,39
2,"Navi Health Group Critical Surgery",1,40
2,"Navi Health Group HospiCash",1,41
2,"Navi Health Group Personal Accident Insurance",1,42
2,"Navi Health Seasonal Byte",1,43
2,"Optional travel insurance for E-ticket passengers",1,44
2,"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",1,45
2,"Personal Care Insurance Policy",1,46
2,"Pravasi Bharatiya Bima Yojana Policy�",1,47
2,"Pravasi Bhartiya Bima Yojana",1,48
2,"Senior Citizens Red Carpet Health Insurance Policy�",1,49
2,"Silver Health",1,50
2,"Star Cardiac Care Insurance Policy",1,51
2,"Star Cardiac Care Insurance Policy- Platinum",1,52
2,"Star Group Covid Insurance Policy",1,53
2,"Star Micro Rural and Farmers Care",1,54
2,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,55
2,"Super Top-up Medicare Policy",1,56
2,"Tele OPD Consultation Rider",1,57
2,"Travel Elect (Group)",1,58
2,"Travel Insurance for E- ticket Passengers-For(IRCTC)",1,59
2,"Travel Insurance�",1,60
2,"Travel Prime Holiday Insurance Policy (Group)",1,61
2,"Unlimited Restore (Add On )",1,62
2,"Voyager Travel Insurance (Group)",1,63
2,"Young Star Insurance Policy",1,64
2,"Zero Co-Pay",1,65
2,"�Arogya Plus Policy",1,66
2,"Saral Suraksha Bima",7,1
3,"Alpa Bima � Group",1,1
3,"Arogya Premier Policy",1,2
3,"Arogya Raksha- Group Health Insurance Scheme",1,3
3,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,4
3,"BoB National Health Policy",1,5
3,"Care Plus",1,6
3,"Chola Group EMI Protect",1,7
3,"Chola Mashak (Mosquito) Rakshak-Group",1,8
3,"Diabetes Safe Insurance Policy",1,9
3,"Digit On -the- Move Group Policy",1,10
3,"Domestic Travel Insurance",1,11
3,"Easy Travel",1,12
3,"Family Health Optima Accident Care Policy",1,13
3,"Family Health Optima Insurance Plan",1,14
3,"Family Medicare Policy",1,15
3,"Family Shield",1,16
3,"Future Poorna Suraksha � Group",1,17
3,"Group Credit Protection Policy",1,18
3,"Group Credit Secure Plus",1,19
3,"Group Safeguard Insurance",1,20
3,"Group Saral Suraksha Bima-Care Health Insurance",1,21
3,"Health Booster",1,22
3,"Health Recharge�",1,23
3,"Health Total",1,24
3,"Home Care Treatment",1,25
3,"Home Credit Assure Package Insurance",1,26
3,"International Travel Insurance",1,27
3,"IRCTC Air Care Policy",1,28
3,"Kotak Group Health Assure",1,29
3,"Kotak Group Secure Shield",1,30
3,"Kotak Secure Shield",1,31
3,"Loan Secure Insurance Policy",1,32
3,"M Care�",1,33
3,"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)",1,34
3,"Mosquito Disease Protection Policy � Group",1,35
3,"my:health�Critical Suraksha Plus",1,36
3,"Navi Health CritiCare",1,37
3,"Navi Health Group Critical Surgery",1,38
3,"Navi Health Group Seasonal Byte",1,39
3,"Navi Health HospiCash",1,40
3,"Oriental - Critical illness policy",1,41
3,"Oriental Insurance Bank Saathi Policy- Group",1,42
3,"Personal Protect Policy",1,43
3,"Quick Health",1,44
3,"Silver Health",1,45
3,"Star Cancer Care Platinum Insurance Policy",1,46
3,"Star Super Surplus (Floater) Insurance Policy",1,47
3,"Surakshit Loan Bima",1,48
3,"Tele OPD Consultation Rider",1,49
3,"Travel Corona Protect- International (Group)",1,50
3,"Travel Elect (Group)",1,51
3,"Travel Insurance�",1,52
3,"Travel Prime Holiday Insurance Policy (Group)",1,53
3,"Travel Prime Policy",1,54
3,TravelAssure,1,55
3,Travelsure(Group),1,56
3,"Voyager Travel Insurance (Group)",1,57
3,"Saral Suraksha Bima",7,1
4,"Additional S.I. for Pandemic and epidemic Rider",1,1
4,"Arogya Premier Policy",1,2
4,"Arogya Raksha- Group Health Insurance Scheme",1,3
4,"Bharat Yatra Suraksha",1,4
4,"Care Plus",1,5
4,"Chola Group Top Up Protect",1,6
4,"Chola Mashak (Mosquito) Rakshak-Group",1,7
4,"Corona Kavach Policy",1,8
4,"Diabetes Safe Insurance Policy",1,9
4,"Digit On -the- Move Group Policy",1,10
4,"Easy Travel",1,11
4,"Family Care",1,12
4,"Family Health Optima Accident Care Policy",1,13
4,"Family Health Optima Insurance Plan",1,14
4,"Family Medicare Policy",1,15
4,"Future Vector Care (Group)",1,16
4,"Future Vector Care�",1,17
4,"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd",1,18
4,"Group Business Travelers Insurance Policy",1,19
4,"Group Easy Travel Senior",1,20
4,"Group Hospital Cash Policy",1,21
4,"Group Loan Bima",1,22
4,"Group Protect",1,23
4,"Group Safeguard Micro Insurance",1,24
4,"Health Insurance Policy � Retail",1,25
4,"Health Pulse",1,26
4,"Home Care Treatment",1,27
4,"IRCTC Air Care Policy",1,28
4,"Janata Personal Accident",1,29
4,"Kotak Group Accident Protect",1,30
4,"Kotak Group Health Assure",1,31
4,"Kotak Secure Shield",1,32
4,"Mosquito Disease Protection Policy � Group",1,33
4,"my: Optima Secure",1,34
4,"my:health�Comprehensive Suraksha - Group",1,35
4,"my:health�Critical Illness (Add On)",1,36
4,"my:health�Women Suraksha",1,37
4,"Navi Cure",1,38
4,"Navi Health",1,39
4,"Navi Health Group Critical Surgery",1,40
4,"Navi Health Group Insurance",1,41
4,"Navi Health Group Travel Insurance",1,42
4,"Navi Health HospiCash",1,43
4,"Navi Health Seasonal Byte",1,44
4,"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",1,45
4,"Overseas Group Travel Insurance",1,46
4,"Personal Protect Policy",1,47
4,"Quick Health",1,48
4,"Ride Safe Travel Insurance",1,49
4,"Sarv Suraksha Plus (Group)",1,50
4,"Smart Health + (Add-On)",1,51
4,"Star Cardiac Care Insurance Policy",1,52
4,"Star Micro Rural and Farmers Care",1,53
4,"Star Super Surplus Insurance Policy",1,54
4,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,55
4,"Super Top-up Medicare Policy",1,56
4,"Tata AIG Criti- Medicare",1,57
4,"Travel Companion",1,58
4,"Travel Insurance for E- ticket Passengers-For(IRCTC)",1,59
4,"Unlimited Restore (Add On )",1,60
4,"Young Star Insurance Policy",1,61
4,"Zero Co-Pay",1,62
4,"Saral Suraksha Bima",6,1
5,"Arogya Premier Policy",1,1
5,"Arogya Supreme",1,2
5,"Bharat Yatra Suraksha",1,3
5,"BoB National Health Policy",1,4
5,"Care Plus",1,5
5,"Chola Group Top Up Protect",1,6
5,"Criti Shield Plus",1,7
5,"Diabetes Safe Insurance Policy",1,8
5,"Digit On -the- Move Group Policy",1,9
5,"Family Health Optima Accident Care Policy",1,10
5,"Family Health Optima Insurance Plan",1,11
5,"Family Shield",1,12
5,"Future Health Protect � Group",1,13
5,"Future Hospicash",1,14
5,"Future Poorna Suraksha � Group",1,15
5,"Future Vector Care (Group)",1,16
5,"Future Vector Care�",1,17
5,"Grameen Care Plus - Micro Insurance Product",1,18
5,"Group Credit Protection Policy",1,19
5,"HDFC ERGO Group Health Insurance",1,20
5,"Health Booster",1,21
5,"Health Insurance Policy � Retail",1,22
5,"Health Plus",1,23
5,"Health Prime -Rider for Health Products",1,24
5,"Health Pulse",1,25
5,"Health Shield 360",1,26
5,"Health Total",1,27
5,"Janata Personal Accident",1,28
5,"Kotak Group Accident Protect - Micro Insurance",1,29
5,"Kotak Group Secure Shield - Micro Insurance",1,30
5,"Loan Secure Insurance Policy",1,31
5,"M Care (Group)",1,32
5,"my: health medisure Super Topup",1,33
5,"my: Optima Secure",1,34
5,"my:health�Critical Illness (Add On)",1,35
5,"my:health�Women Suraksha",1,36
5,"Navi Cure",1,37
5,"Navi Health CritiCare",1,38
5,"Navi Health Group HospiCash",1,39
5,"Navi Health Group Insurance",1,40
5,"Navi Health Group Seasonal Byte",1,41
5,"Navi Health Group Travel Insurance",1,42
5,"Optional Travel Insurance for E-ticket passengers - IRCTC",1,43
5,"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",1,44
5,"Overseas Group Travel Insurance",1,45
5,"Quick Health",1,46
5,"Rashtriya Swasthya Bima Yojana",1,47
5,"Ride Safe Travel Insurance",1,48
5,"Sarv Suraksha Plus (Group)",1,49
5,"Star Cardiac Care Insurance Policy",1,50
5,"Star Critical Illness Multipay Insurance Policy",1,51
5,"Star Group Critical Illness Multipay Insurance Policy",1,52
5,"Star Super Surplus (Floater) Insurance Policy",1,53
5,"Star Super Surplus Insurance Policy",1,54
5,"Tata AIG Criti- Medicare",1,55
5,"Tele OPD Consultation Rider",1,56
5,"Travel Corona Protect- International (Group)",1,57
5,"Travel Elect (Group)",1,58
5,"Travel Prime Policy",1,59
5,"Voyager Travel Insurance (Group)",1,60
5,"Wellness Addon",1,61
5,"Young Star Insurance Policy",1,62
5,"Digit Group Total Protect Policy",4,1
5,"Family Medicare Policy",4,2
5,"Saral Suraksha Bima",4,3
5,"Saral Suraksha Bima-Group",4,4
6,"Alpa Bima � Group",1,1
6,"Arogya Premier Policy",1,2
6,"Arogya Raksha- Group Health Insurance Scheme",1,3
6,"Arogya Sanjeevani",1,4
6,"Bharat Yatra Suraksha",1,5
6,"BoB National Health Policy",1,6
6,"Care Classic",1,7
6,"Chola Group Top Up Protect",1,8
6,"Criti Shield Plus",1,9
6,"Digit On -the- Move Group Policy",1,10
6,"Domestic Travel Insurance",1,11
6,"E Travel Value policy",1,12
6,"Family Health Optima Insurance Plan",1,13
6,"Family Health Optima�",1,14
6,"Flexi Health Protect(Group)",1,15
6,"Flexi Max Protect",1,16
6,"Future Criticare",1,17
6,"Future Poorna Suraksha � Group",1,18
6,"Future Vector Care (Group)",1,19
6,"Globetrotter - Overseas Group Travel Insurance",1,20
6,"Grameen Care Plus - Micro Insurance Product",1,21
6,"Group Credit Health Policy",1,22
6,"Group Credit Secure Plus",1,23
6,"Group Hospital Cash Policy",1,24
6,"Group Loan Insurance",1,25
6,"Group Personal Accident",1,26
6,"Group Protect",1,27
6,"Group Saral Suraksha Bima-Care Health Insurance",1,28
6,"Health Pulse",1,29
6,"Health Shield 360",1,30
6,"Home Care Treatment",1,31
6,"Home Credit Assure Package Insurance",1,32
6,"Income Protect",1,33
6,"International Travel Insurance",1,34
6,"IRCTC Air Care Policy",1,35
6,"Kotak Group Accident Protect - Micro Insurance",1,36
6,"Kotak Group Secure Shield",1,37
6,"Loan Secure Insurance Policy",1,38
6,"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)",1,39
6,"my: health medisure Super Topup",1,40
6,"my: Optima Secure",1,41
6,"my:credit�Comprehensive Suraksha",1,42
6,"my:health�Critical Suraksha Plus",1,43
6,"my:health�Women Suraksha",1,44
6,"Navi Health CritiCare",1,45
6,"Navi Health Group Insurance",1,46
6,"Navi Health HospiCash",1,47
6,"Navi Health Seasonal Byte",1,48
6,"Navi Health Super Top Up",1,49
6,"Oriental Insurance Bank Saathi Policy- Group",1,50
6,"Personal Care Insurance Policy",1,51
6,"Pravasi Bharatiya Bima Yojana Policy�",1,52
6,"Pravasi Bhartiya Bima Yojana",1,53
6,"Saral Suraksha Bima-Group",1,54
6,"Smart Health + (Add-On)",1,55
6,"Star Comprehensive Insurance Policy",1,56
6,"Star Critical Illness Multipay Insurance Policy",1,57
6,"Star Super Surplus Insurance Policy",1,58
6,"Student Suraksha- Student Overseas Travel",1,59
6,"Sukshma Hospi-Cash (Micro-Insurance Product)",1,60
6,"Swasthya Suraksha",1,61
6,"Tata AIG Criti- Medicare",1,62
6,"Tele OPD Consultation Rider",1,63
6,"Travel Assist Card�",1,64
6,"Travel Elect (Group)",1,65
6,"Travel Prime Holiday Insurance Policy (Group)",1,66
6,"Unlimited Restore (Add On )",1,67
6,"Voyager Travel Insurance (Group)",1,68
6,"Wellness Addon",1,69
6,"Welness Benefit Addon(Group)",1,70
6,"Zero Co-Pay",1,71
6,"Saral Suraksha Bima",8,1
7,"Alpa Bima � Group",1,1
7,"Arogya Premier Policy",1,2
7,"Arogya Raksha- Group Health Insurance Scheme",1,3
7,"Arogya Sanjeevani",1,4
7,"Arogya Shield",1,5
7,"Arogya Supreme",1,6
7,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,7
7,"Care Plus",1,8
7,"Criti Shield Plus",1,9
7,"Easy Travel",1,10
7,"Edelweiss HealthPlus Policy",1,11
7,"Flexi Max Protect",1,12
7,"Future Criticare",1,13
7,"Future Vector Care (Group)",1,14
7,"Globetrotter - Overseas Group Travel Insurance",1,15
7,"Group Corona Kavach Policy",1,16
7,"Group Credit Protection Policy",1,17
7,"Group Hospital Cash Policy",1,18
7,"Group Loan Bima",1,19
7,"Group Protect",1,20
7,"Health Insurance Policy � Retail",1,21
7,"Health Recharge�",1,22
7,"Health Shield 360",1,23
7,"Home Credit Assure Package Insurance",1,24
7,"Income Protect",1,25
7,"Janata Personal Accident",1,26
7,"Kotak Accident Care",1,27
7,"Kotak Group Accident Protect - Micro Insurance",1,28
7,"Mosquito Disease Protection Policy � Group",1,29
7,"my: Optima Secure",1,30
7,"my: Sampoorna Suraksha",1,31
7,"my:health�Critical Illness (Add On)",1,32
7,"my:health�Critical Suraksha Plus",1,33
7,"Navi Health Accident",1,34
7,"Navi Health Group Critical Illness Insurance",1,35
7,"Navi Health Group Critical Surgery",1,36
7,"Navi Health HospiCash",1,37
7,"Navi Health Seasonal Byte",1,38
7,"Optima Restore",1,39
7,"Optional Travel Insurance for E-ticket passengers - IRCTC",1,40
7,"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",1,41
7,"Oriental - Critical illness policy",1,42
7,"Overseas Group Travel Insurance",1,43
7,"Personal Protect Policy",1,44
7,"Rashtriya Swasthya Bima Yojana",1,45
7,"Ride Safe Travel Insurance",1,46
7,"Sarv Suraksha Plus (Group)",1,47
7,"Senior Citizens Red Carpet Health Insurance Policy�",1,48
7,"Silver Health",1,49
7,"Star Comprehensive Insurance Policy",1,50
7,"Star Critical Illness Multipay Insurance Policy",1,51
7,"Star Group Health Insurance Policy � Gold (For Bank Customers)",1,52
7,"Star Super Surplus (Floater) Insurance Policy",1,53
7,"Student Suraksha- Student Overseas Travel",1,54
7,"Sukshma Hospi-Cash (Micro-Insurance Product)",1,55
7,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,56
7,"Super No Claim Bonus Rider",1,57
7,"Super reload Rider",1,58
7,"Tata AIG Criti- Medicare",1,59
7,"Tele OPD Consultation Rider",1,60
7,"Travel Corona Protect- International (Group)",1,61
7,Travelsure(Group),1,62
7,"UB Arogyadaan",1,63
7,"�Arogya Plus Policy",1,64
7,"�Arogya Top up Policy",1,65
7,"Saral Suraksha Bima",9,1
8,"Arogya Raksha- Group Health Insurance Scheme",1,1
8,"Arogya Supreme",1,2
8,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,3
8,"Chola Mashak (Mosquito) Rakshak-Group",1,4
8,"Criti Shield Plus",1,5
8,"Easy Travel",1,6
8,"Edelweiss HealthPlus Policy",1,7
8,Educare,1,8
8,"Family Health Optima�",1,9
8,"Flexi Health Protect(Group)",1,10
8,"Flexi Max Protect",1,11
8,"Future Poorna Suraksha � Group",1,12
8,"Future Vector Care (Group)",1,13
8,"Future Vector Care�",1,14
8,"Globetrotter - Overseas Group Travel Insurance",1,15
8,"Group Business Travelers Insurance Policy",1,16
8,"Group Credit Secure Plus",1,17
8,"Group Loan Bima",1,18
8,"Group Protect",1,19
8,"Group Saral Suraksha Bima-Care Health Insurance",1,20
8,"HDFC ERGO Group Health Insurance",1,21
8,"Health Prime -Rider for Health Products",1,22
8,"Health Pulse",1,23
8,"Hospital Daily Cash -Group",1,24
8,"Kotak Group Health Assure",1,25
8,"Kotak Group Secure Shield",1,26
8,"M Care�",1,27
8,"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)",1,28
8,"my: health medisure Super Topup",1,29
8,"my: Optima Secure",1,30
8,"my:health�Critical Illness (Add On)",1,31
8,"my:health�Critical Suraksha Plus",1,32
8,"my:health�Women Suraksha",1,33
8,"Navi Cure",1,34
8,"Navi Health Accident",1,35
8,"Navi Health CritiCare",1,36
8,"Navi Health Group Critical Illness Insurance",1,37
8,"Navi Health Group Personal Accident Insurance",1,38
8,"Navi Health Super Top Up",1,39
8,"Oriental Insurance Bank Saathi Policy- Group",1,40
8,"Personal Care Insurance Policy",1,41
8,"Personal Protect Policy",1,42
8,"Pravasi Bharatiya Bima Yojana Policy�",1,43
8,"Ride Safe Travel Insurance",1,44
8,"Sarv Suraksha Plus (Group)",1,45
8,"Star Cardiac Care Insurance Policy",1,46
8,"Star Cardiac Care Insurance Policy- Platinum",1,47
8,"Star Comprehensive Insurance Policy",1,48
8,"Star Critical Illness Multipay Insurance Policy",1,49
8,"Star Group Health Insurance Policy � Gold (For Bank Customers)",1,50
8,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,51
8,"Super reload Rider",1,52
8,"Surakshit Loan Bima",1,53
8,"Tele OPD Consultation Rider",1,54
8,"Travel Assist Card�",1,55
8,"Travel Insurance�",1,56
8,TravelAssure,1,57
8,"�Arogya Plus Policy",1,58
8,"my:health�Comprehensive Suraksha - Group",4,1
8,"Navi Health",4,2
8,"Saral Suraksha Bima",4,3
9,"Arogya Premier Policy",1,1
9,"Arogya Raksha- Group Health Insurance Scheme",1,2
9,"Arogya Sanjeevani Policy",1,3
9,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,4
9,"BoB National Health Policy",1,5
9,"Chola Group Top Up Protect",1,6
9,"Corona Kavach Policy",1,7
9,"Criti Shield Plus",1,8
9,"Edelweiss HealthPlus Policy",1,9
9,"Family Care",1,10
9,"Family Health Optima Insurance Plan",1,11
9,"Family Health Optima�",1,12
9,"Family Medicare Policy",1,13
9,"Flexi Health Protect(Group)",1,14
9,"Future Vector Care (Group)",1,15
9,"Globetrotter - Overseas Individual Student Travel Insurance",1,16
9,"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd",1,17
9,"Group Easy Travel Senior",1,18
9,"Group Hospi Shield",1,19
9,"Group Loan Bima",1,20
9,"Group Loan Insurance",1,21
9,"Group Personal Accident",1,22
9,"Group Safeguard Micro Insurance",1,23
9,"Health Insurance Policy � Retail",1,24
9,"Health Prime (Group)",1,25
9,"Health Recharge�",1,26
9,"Health Shield 360",1,27
9,"Home Credit Assure Package Insurance",1,28
9,"ICICI LOMBARD COMPLETE HEALTH INSURANCE",1,29
9,"Income Protect",1,30
9,"International Travel Insurance",1,31
9,"Janata Personal Accident",1,32
9,"Kotak Group Health Assure",1,33
9,"Kotak Group Secure Shield",1,34
9,"Kotak Group Secure Shield - Micro Insurance",1,35
9,"M Care�",1,36
9,"my:credit�Comprehensive Suraksha",1,37
9,"my:health�Comprehensive Suraksha - Group",1,38
9,"my:health�Critical Suraksha Plus",1,39
9,"Navi Health Group HospiCash",1,40
9,"Navi Health Group Travel Insurance",1,41
9,"Navi Health Seasonal Byte",1,42
9,"Optima Restore",1,43
9,"Optional travel insurance for E-ticket passengers",1,44
9,"Optional Travel Insurance for E-ticket passengers - IRCTC",1,45
9,"Oriental - Critical illness policy",1,46
9,"Quick Health",1,47
9,"Senior Citizens Red Carpet Health Insurance Policy�",1,48
9,"Star Cardiac Care Insurance Policy",1,49
9,"Star Group Critical Illness Multipay Insurance Policy",1,50
9,"Star Micro Rural and Farmers Care",1,51
9,"Student Suraksha- Student Overseas Travel",1,52
9,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,53
9,"Super No Claim Bonus Rider",1,54
9,"Super reload Rider",1,55
9,"Swasthya Suraksha",1,56
9,"Tata AIG Criti- Medicare",1,57
9,"Travel Corona Protect- International (Group)",1,58
9,"Travel Elect (Group)",1,59
9,"Travel Insurance�",1,60
9,"Travel Prime Policy",1,61
9,"Unlimited Restore (Add On )",1,62
9,"Wellness Addon",1,63
9,"�Arogya Plus Policy",1,64
9,"�Arogya Top up Policy",1,65
9,"Saral Suraksha Bima",8,1
10,"Arogya Raksha- Group Health Insurance Scheme",1,1
10,"Arogya Sanjeevani Policy",1,2
10,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,3
10,"Bharat Yatra Suraksha Group",1,4
10,"BoB National Health Policy",1,5
10,"Chola Group EMI Protect",1,6
10,"Chola Group Top Up Protect",1,7
10,"Diabetes Safe Insurance Policy",1,8
10,"E Travel Value policy",1,9
10,"Family Health Optima Accident Care Policy",1,10
10,"Family Medicare Policy",1,11
10,"Family Shield",1,12
10,"Flexi Health Protect(Group)",1,13
10,"Future Health Protect � Group",1,14
10,"Future Poorna Suraksha � Group",1,15
10,"Future Vector Care (Group)",1,16
10,"Globetrotter - Overseas Group Travel Insurance",1,17
10,"Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd",1,18
10,"Group Credit Health Policy",1,19
10,"Group Easy Travel Senior",1,20
10,"Group Loan Bima",1,21
10,"Group Protect",1,22
10,"Group Travel Insurance",1,23
10,"HDFC ERGO Group Health Insurance",1,24
10,"Health Prime -Rider for Health Products",1,25
10,"Health Prime (Group)",1,26
10,"Health Shield 360",1,27
10,"Health Total",1,28
10,"Income Protect",1,29
10,"M Care (Group)",1,30
10,"M Care�",1,31
10,"my: health medisure Super Topup",1,32
10,"my: Optima Secure",1,33
10,"my: Sampoorna Suraksha",1,34
10,"Navi Health Accident",1,35
10,"Navi Health CritiCare",1,36
10,"Navi Health Group Critical Surgery",1,37
10,"Navi Health Group Travel Insurance",1,38
10,"Navi Health Super Top Up",1,39
10,"Optima Restore",1,40
10,"Optional Travel Insurance for E-ticket passengers - IRCTC",1,41
10,"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",1,42
10,"Oriental - Critical illness policy",1,43
10,"Oriental Insurance Bank Saathi Policy- Group",1,44
10,"Overseas Group Travel Insurance",1,45
10,"Personal Care Insurance Policy",1,46
10,"Personal Protect Policy",1,47
10,"Saral Suraksha Bima-Group",1,48
10,"Sarv Suraksha Plus (Group)",1,49
10,"Silver Health",1,50
10,"Star Comprehensive Insurance Policy",1,51
10,"Star Group Critical Illness Multipay Insurance Policy",1,52
10,"Star Group Health Insurance Policy � Gold (For Bank Customers)",1,53
10,"Star Super Surplus Insurance Policy",1,54
10,"Student Suraksha- Student Overseas Travel",1,55
10,"Super Top-up Medicare Policy",1,56
10,"Tata AIG Criti- Medicare",1,57
10,"Travel Companion",1,58
10,"Travel Insurance for E- ticket Passengers-For(IRCTC)",1,59
10,"Travel Insurance�",1,60
10,TravelAssure,1,61
10,"UB Arogyadaan",1,62
10,"Wellness Addon",1,63
10,"Saral Suraksha Bima",8,1
11,"Alpa Bima � Group",1,1
11,"Arogya Premier Policy",1,2
11,"Arogya Shield",1,3
11,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,4
11,"Bharat Yatra Suraksha",1,5
11,"Care Plus",1,6
11,"Corona Kavach Policy",1,7
11,"Criti Shield Plus",1,8
11,Educare,1,9
11,"Family Health Optima Insurance Plan",1,10
11,"Family Medicare Policy",1,11
11,"Flexi Max Protect",1,12
11,"Future Hospicash",1,13
11,"Future Vector Care�",1,14
11,"Globetrotter - Overseas Individual Student Travel Insurance",1,15
11,"Grameen Care Plus - Micro Insurance Product",1,16
11,"Group Business Travelers Insurance Policy",1,17
11,"Group Corona Kavach Policy",1,18
11,"Group Easy Travel Senior",1,19
