companyName,productName,description,maxPrice,Price_Category
"UNO HEALTHCARE COMERCIO DE MEDICAMENTOS LTDA.",Crysvita,"30 MG SOL INJ CT FA VD X 1 ML",54529.74,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",Imbruvica,"140 MG CAP DURA CT FR PLAS OPC X 120",51496.89,Pricey
"ASTRAZENECA DO BRASIL LTDA",CALQUENCE,"100 MG CAP DURA CT BL AL AL X 60",51496.88,Pricey
"BLAU FARMACEUTICA S.A.",PACLITAXEL,"6 MG/ML SOL INJ IV CX 10 FA VD AMB X 50ML",51461.38,Pricey
"ACCORD FARMACEUTICA LTDA","PEMETREXEDE DISSODICO","500 MG PO LIOF INJ CT 10 FA VD INC X 50 ML",49527.84,Pricey
"BLAU FARMACEUTICA S.A.","Pemetrexede dissodico hemipentaidratado","500 MG PO LIOF SOL INJ CT 10 FA VD TRANS",49525.41,Pricey
"NOVARTIS BIOCIENCIAS S.A",Ilaris,"150 MG/ML SOL INJ CT 1 FA VD INC X 1 Ml",48504.55,Pricey
"NOVARTIS BIOCIENCIAS S.A",ILARIS,"150 MG PO LIOF INJ CT 01 FA VD INC",48504.55,Pricey
"ABBVIE FARMACEUTICA LTDA.",MAVIRET,"100 MG + 40 MG COM REV CT BL AL PLAS TRANS X 84",46511.82,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Hemcibra,"105 MG SOL INJ SC CT 1 FA VD TRANS X 0.7 ML",45487.86,Pricey
"EISAI LABORATORIOS LTDA",GLIADEL,"7.7 MG IMPL CX 8 ENV AL PLAS X 1",43865.86,Pricey
"MYLAN LABORATORIOS LTDA",MYLTOL,"6 MG /ML SOL INJ IV CT 20 FA VD INC X 16.7 ML",40306.59,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",Imbruvica,"140 MG CAP DURA CT FR PLAS OPC X 90",38622.66,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",Olysio,"150 MG CAP DURA CT BL AL PLAS OPC X 28",38504.62,Pricey
"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",DUCTOQUINASE,"INJ 1.500.000UI PO LIOF. (CX C/50 FRC/AMP)",38269.54,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"5 MG COM CT BL AL PLAS PVC TRANS X 280",37866.34,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"2.5 MG COM CT BL AL PLAS PVC TRANS X 560",37865.83,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",kanuma,"2 MG/ML SOL DIL INFUS CT 1 FA VD INC X 10 ML",37848.89,Pricey
"BLAU FARMACEUTICA S.A.",PACLITAXEL,"6 MG/ML SOL INJ IV CX 20 FA VD AMB X 16.7ML",37492.48,Pricey
"PRATI DONADUZZI & CIA LTDA",deferasirox,"500 MG COM SUS CT BL AL AL X 500 (EMB HOSP)",37249.46,Pricey
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","VORI INJ","200 MG PO LIOF SOL INJ INFUS IV CX 28 FA VD TRANS",36801.46,Pricey
"ACCORD FARMACEUTICA LTDA",PEMTRYX,"500 MG PO LIOF INJ CT 05 FA VD INC X 50 ML",36539.08,Pricey
"UNO HEALTHCARE COMERCIO DE MEDICAMENTOS LTDA.",Crysvita,"20 MG SOL INJ CT FA VD X 1ML",36353.19,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",Stelara,"130 MG SOL INJ INFUS IV CT X 1 FA VD TRANS X 26 ML",36344.94,Pricey
"FARMARIN INDUSTRIA E COMERCIO LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD TRANS X 25 ML",36247.01,Pricey
"EUROFARMA LABORATORIOS S.A.",PACLITAXEL,"6 MG/ML SOL INJ CT 20 FA VD INC X 16.7 ML",36219.78,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",INCIVO,"375 MG COM REV CT FR PLAS OPC X 168",35664.93,Pricey
"LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA",TREBYXAN,"20 MG/ML SOL INJ CT 50 FA VD AMB X 2 ML",35518.73,Pricey
"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.",SOFOSBUVIR,"400 MG COM REV CT FR PLAS OPC X 28",35071.00,Pricey
"SANOFI-AVENTIS FARMACEUTICA LTDA",Lemtrada,"10 MG/ML SOL DIL INFUS CT FA VD TRANS",34893.44,Pricey
"GENZYME DO BRASIL LTDA",Lemtrada,"10 MG/ML SOL DIL INFUS CT FA VD TRANS",34893.44,Pricey
"HOSPIRA PRODUTOS HOSPITALARES LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD INC X 25 ML (REST HOSP)",34742.65,Pricey
"WYETH INDUSTRIA FARMACEUTICA LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD TRANS X 25 ML",34742.65,Pricey
"SANOFI-AVENTIS FARMACEUTICA LTDA","EUVAX B","20MCG/ML SUS INJ CT 50 FA VD INC X 10 ML",34644.01,Pricey
"ABBVIE FARMACEUTICA LTDA.",VENCLEXTA,"100 MG COM REV CT FR PLAS OPC X 120",34494.71,Pricey
"BEAUFOUR IPSEN FARMACEUTICA LTDA",CABOMETYX,"60 MG COM REV CT FR PLAS OPC X 30",33772.00,Pricey
"SANOFI MEDLEY FARMACEUTICA LTDA.",LIBTAYO,"350 MG SOL DIL INFUS CT FA VD TRANS X 7 ML",33425.51,Pricey
"NOVARTIS BIOCIENCIAS S.A",Tafinlar,"75 MG CAP DURA CT FR PLAS OPC X 120",33107.39,Pricey
"BEAUFOUR IPSEN FARMACEUTICA LTDA",CABOMETYX,"40 MG COM REV CT FR PLAS OPC X 30",31724.27,Pricey
"GLAXOSMITHKLINE BRASIL LTDA",CERVARIX,"20 MCG SUS INJ CT 100 FA VD INC MONODOSE X 0.5 ML",31084.93,Pricey
"GLAXOSMITHKLINE BRASIL LTDA",CERVARIX,"20 MCG SUS INJ CT 100 SER PREENCH VD INC X 0.5 ML",31084.93,Pricey
"GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA",Epclusa,"400 MG + 100 MG COM REV CT FR PLAS OPC X 28",31007.88,Pricey
"LABORATORIOS PFIZER LTDA",XALKORI,"250 MG CAP DUR CT BL AL PLAS TRANS X 60",31007.30,Pricey
"LABORATORIOS PFIZER LTDA",XALKORI,"250 MG CAP DUR CT FR PLAS OPC X 60",31007.30,Pricey
"MYLAN LABORATORIOS LTDA",MYLTOL,"6 MG /ML SOL INJ IV CT 5 FA VD INC X 50 ML",30956.90,Pricey
"MYLAN LABORATORIOS LTDA",MYLTOL,"6 MG /ML SOL INJ IV CT 10 FA VD INC X 50 ML",30956.90,Pricey
"GLAXOSMITHKLINE BRASIL LTDA",Tafinlar,"75 MG CAP DURA CT FR PLAS OPC X 120",30857.01,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",OCREVUS,"30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML",30788.91,Pricey
"ASTRAZENECA DO BRASIL LTDA",Tagrisso,"40 MG COM REV CT BL AL AL X 30",30650.78,Pricey
"ASTRAZENECA DO BRASIL LTDA",Tagrisso,"80 MG COM REV CT BL AL AL X 30",30650.78,Pricey
"BLAU FARMACEUTICA S.A.",OXALIPLATINA,"100MG PO LIOF SOL INJ IV CX 10 FA VD TRANS X 50ML",29889.93,Pricey
"EVOLABIS PRODUTOS FARMACEUTICOS LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD INC X 25 ML (REST HOSP)",29243.11,Pricey
"MYLAN LABORATORIOS LTDA",OXALIPLATINA,"100 MG PO LIOF SOL INJ CT 10 FA VD TRANS",28649.40,Pricey
"BLAU FARMACEUTICA S.A.",BLAUBIMAX,"20 % SOL INJ CX 100 FA VD INC X 50 ML",28089.85,Pricey
"EUROFARMA LABORATORIOS S.A.",OXALIPLATINA,"100 MG PO LIOF P/ SOL INJ CT 10 FA VD INC",27479.25,Pricey
"BLAU FARMACEUTICA S.A.",ALBUMAX,"200 MG/ML SOL INJ CX 100 FA VD INC X 50 ML",27400.00,Pricey
"EUROFARMA LABORATORIOS S.A.",PACLITAX,"6 MG/ML SOL INJ CT 10 FA VD INC X 25 ML",26152.03,Pricey
"INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA",TEICONIN,"400 MG PO LIOF INJ CX 50 FA VD INC",26059.71,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Hemcibra,"60 MG SOL INJ SC CT 1 FA VD TRANS X 0.4 ML",25993.06,Pricey
"BLAU FARMACEUTICA S.A.",PACLITAXEL,"6 MG/ML SOL INJ IV CX 5 FA VD AMB X 50ML",25730.69,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Alecensa,"150 MG CAP DURA CT BL AL AL X 224",25489.66,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Tecentriq,"1200 MG SOL DIL INFUS IV CT FA VD TRANS X 20 ML",25423.27,Pricey
"MERCK S/A",KUVAN,"100 MG COM CT FR PLAS OPC X 240",25191.70,Pricey
"JANSSEN-CILAG FARMACEUTICA LTDA",Stelara,"90 MG SOL INJ CT 1 SER PREENC VD TRANS DISP SEGURANCA X 1 ML",25161.87,Pricey
"NOVARTIS BIOCIENCIAS S.A",Jakavi,"15 MG COM CT BL AL PLAS TRANS X 60",25138.17,Pricey
"NOVARTIS BIOCIENCIAS S.A",Jakavi,"20 MG COM CT BL AL PLAS TRANS X 60",25138.17,Pricey
"ACCORD FARMACEUTICA LTDA",VORICONAZOL,"200 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP)",25130.88,Pricey
"LABORATORIOS PFIZER LTDA",XALKORI,"200 MG CAP DUR CT BL AL PLAS TRANS X 60",25089.78,Pricey
"LABORATORIOS PFIZER LTDA",XALKORI,"200 MG CAP DUR CT FR PLAS OPC X 60",25089.78,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.","PERJETA HER","420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML + 440 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL FA VD TRANS X 20 ML",25082.53,Pricey
"ACCORD FARMACEUTICA LTDA","PEMETREXEDE DISSODICO","500 MG PO LIOF INJ CT 05 FA VD INC X 50 ML",24763.92,Pricey
"BLAU FARMACEUTICA S.A.","Pemetrexede dissodico hemipentaidratado","500 MG PO LIOF SOL INJ CT 5 FA VD TRANS",24762.71,Pricey
"ASTRAZENECA DO BRASIL LTDA",Lynparza,"50 MG CAP DURA CT FR PLAS OPC X 448",24621.87,Pricey
"BLAU FARMACEUTICA S.A.",BOTULIM,"200 U PO LIOF INJ 01 CT C/ 10 FR AMP INC",24052.65,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 100 FA VD INC X 20 ML",24046.72,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 10 FA VD INC X 200 ML",24046.72,Pricey
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.",VORICONAZOL,"200 MG PO LIOF SOL INJ INFUS IV CX 28 FA VD TRANS",23924.09,Pricey
"CELGENE BRASIL PRODUTOS FARMACEUTICOS LTDA.",REVLIMID,"15 MG CAP DURA CT BL AL PLAS TRANS X 28",23543.69,Pricey
"FARMARIN INDUSTRIA E COMERCIO LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD TRANS X 16.7 ML",23412.65,Pricey
"ACTELION PHARMACEUTICALS DO BRASIL LTDA",ZAVESCA,"100 MG CAP GEL DURA CT BL AL PVC X 90",23156.11,Pricey
"TAKEDA PHARMA LTDA.",NINLARO,"4 MG CAP DURA CT BL AL AL X 3",23107.03,Pricey
"LABORATORIOS PFIZER LTDA",Vyndaqel,"20 MG CAP MOLE CT BL AL PLAS TRANS X 30",22861.67,Pricey
"ACTELION PHARMACEUTICALS DO BRASIL LTDA",Uptravi,"0.2 MG COM REV CT FR PLAS OPC X 140",22790.33,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",ERIVEDGE,"150 MG CAP DURA CT FR PLAS OPC X 28",22614.29,Pricey
"TAKEDA PHARMA LTDA.",FERINJECT,"50 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML (EMB HOSP)",22527.51,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",SOLIRIS,"10 MG/ML SOL DIL INFUS CT 1 FA VD INC X 30 ML",22511.87,Pricey
"HOSPIRA PRODUTOS HOSPITALARES LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML (REST HOSP)",22440.96,Pricey
"WYETH INDUSTRIA FARMACEUTICA LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD TRANS X 16.7 ML",22440.96,Pricey
"PRATI DONADUZZI & CIA LTDA",deferasirox,"500 MG COM SUS CT BL AL AL X 300 (EMB FRAC)",22349.67,Pricey
"PRATI DONADUZZI & CIA LTDA",deferasirox,"500 MG COM SUS CT BL AL AL X 300 (EMB HOSP)",22349.67,Pricey
"CELGENE BRASIL PRODUTOS FARMACEUTICOS LTDA.",REVLIMID,"10 MG CAP DURA CT BL AL PLAS TRANS X 28",22320.63,Pricey
"NOVARTIS BIOCIENCIAS S.A",Tafinlar,"50 MG CAP DURA CT FR PLAS OPC X 120",22071.59,Pricey
"MYLAN LABORATORIOS LTDA",MYLTOL,"6 MG /ML SOL INJ IV CT 10 FA VD INC X 16.7 ML",21867.86,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",GAZYVA,"1000 MG SOL DIL INFS IV CT FA VD TRANS X 40 ML",20678.87,Pricey
"ASTRAZENECA DO BRASIL LTDA",CAPRELSA,"300 MG COM REV CT BL AL PLAS TRANS X 30",20614.74,Pricey
"GENZYME DO BRASIL LTDA",CAPRELSA,"300 MG COM REV CT BL AL PLAS TRANS X 30",20614.74,Pricey
"SANOFI-AVENTIS FARMACEUTICA LTDA",CAPRELSA,"300 MG COM REV CT BL AL PLAS TRANS X 30",20614.74,Pricey
"GLAXOSMITHKLINE BRASIL LTDA",Tafinlar,"50 MG CAP DURA CT FR PLAS OPC X 120",20571.34,Pricey
"MERCK S/A",KUVAN,"100 MG COM CT FR PLAS OPC X 240",20441.21,Pricey
"BLAU FARMACEUTICA S.A.","CLORIDRATO DE ONDANSETRONA","8 MG COM REV CT BL AL PLAS AMB X 500",20423.74,Pricey
"WYETH INDUSTRIA FARMACEUTICA LTDA",FLUZANTIC,"0.1 MG/ML SOL INJ CT 120 AMP VD AMB X 5 ML (EMB HOSP)",20373.62,Pricey
"CELGENE BRASIL PRODUTOS FARMACEUTICOS LTDA.",REVLIMID,"25 MG CAP CT BL AL PLAS TRANS X 21",20264.66,Pricey
"ELI LILLY DO BRASIL LTDA",VERZENIOS,"200 MG COM REV CT BL AL AL X 60",20263.01,Pricey
"BAYER S.A.",XOFIGO,"1100 KBQ/ML SOL INJ CX BLINDAGEM DE CHUMBO FA VD TRANS X 6ML",20125.95,Pricey
"NOVARTIS BIOCIENCIAS S.A",Upelior,"0.9 MG/ML SOL INJ CT 60 AMP VD TRANS X 1 ML",19531.62,Pricey
"LABORATORIOS PFIZER LTDA",INLYTA,"5 MG COM REV CT FR PLAS OPC X 60",19494.96,Pricey
"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",DUCTOQUINASE,"INJ 750.000UI PO LIOF. (CX C/50 FRC/AMP)",19486.90,Pricey
"BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA",Daklinza,"60 MG COM REV CT BL AL PLAS TRANS x 28",19252.01,Pricey
"NOVARTIS BIOCIENCIAS S.A",GILENYA,"0.5 MG CAP GEL DURA CT BL AL PLAS INC X 84",19215.77,Pricey
"NOVARTIS BIOCIENCIAS S.A",Mekinist,"2 MG/DOSE COM REV CT FR PLAS OPC X 30",19031.13,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"2.5 MG COM CT BL AL PLAS PVC TRANS X 280",18932.91,Pricey
"EVOLABIS PRODUTOS FARMACEUTICOS LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML (REST HOSP)",18888.70,Pricey
"BLAU FARMACEUTICA S.A.",PACLITAXEL,"6 MG/ML SOL INJ IV CX 10 FA VD AMB X 16.7ML",18746.25,Pricey
"INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA",teicoplanina,"400 MG PO LIOF INJ CX 50 FA VD INC",18741.24,Pricey
"UNITED MEDICAL LTDA",AMBISOME,"50 MG PO LIOF INJ CT 10 FA VD INC",18695.93,Pricey
"BAYER S.A.",XOFIGO,"1000 KBQ/ML SOL INJ CX BLINDAGEM DE CHUMBO FR VD INC X 6ML",18642.21,Pricey
"PRATI DONADUZZI & CIA LTDA",deferasirox,"250 MG COM SUS CT BL AL AL X 500 (EMB HOSP)",18624.46,Pricey
"CELGENE BRASIL PRODUTOS FARMACEUTICOS LTDA.",REVLIMID,"15 MG CAP CT BL AL PLAS TRANS X 21",18422.35,Pricey
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","VORI INJ","200 MG PO LIOF SOL INJ INFUS IV CX 14 FA VD TRANS",18400.73,Pricey
"INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA","MEROPENEM TRI-HIDRATADO","1 G PO SOL INJ CX 100 FA VD TRANS X 20 ML",18223.79,Pricey
"MERCK S/A",ABELCET,"5 MG/ML SUS INJ EST 10 CT FA VD INC X 20 ML + AGULHA DE 5",18220.39,Pricey
"NOVARTIS BIOCIENCIAS S.A",Upelior,"0.6 MG/ML SOL INJ CT 60 AMP VD TRANS X 1 ML",18199.11,Pricey
"UNO HEALTHCARE COMERCIO DE MEDICAMENTOS LTDA.",Crysvita,"10 MG SOL INJ CT FA VD X 1 ML",18176.56,Pricey
"FARMARIN INDUSTRIA E COMERCIO LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 5 FA VD TRANS X 25 ML",18123.51,Pricey
"CLARIS PRODUTOS FARMACEUTICOS DO BRASIL LTDA",EXOMAX,"2 MG/ML SOL INJ CX 96 BOLS PLAS PP TRANS SIST FECH X 100 ML",18079.19,Pricey
"LABORATORIOS PFIZER LTDA",ECALTA,"100 MG PO LIOF SOL INJ CT 30 FA VD INC + SOL DIL 30 FA VD INC X 30 ML (EMB HOSP)",18008.50,Pricey
"NOVO NORDISK FARMACEUTICA DO BRASIL LTDA",NOVOSEVEN,"5 MG (250 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 5.2 ML",17973.17,Pricey
"NOVO NORDISK FARMACEUTICA DO BRASIL LTDA",Novoseven,"5 MG (250 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 5 ML",17972.62,Pricey
"EUROFARMA LABORATORIOS S.A.",PROAZITAX,"60MG SOL INJ IV CT FA VD TRANS X 1.5ML + DIL X 4.5ML",17945.99,Pricey
"ACCORD FARMACEUTICA LTDA",CAAB,"60 MG SOL INJ CT FA VD TRANS X 1.5 ML + DIL X 4.5 ML",17945.99,Pricey
"SANOFI-AVENTIS FARMACEUTICA LTDA",JEVTANA,"60 MG SOL INJ CX VD INC X 1.5 ML + DIL X 4.5 ML",17945.99,Pricey
"DR. REDDYS FARMACEUTICA DO BRASIL LTDA",CABAZRED,"60 MG SOL INJ CT FR AMP VD TRANS X1.5ML + DIL FR AMP VD TRANS X 4.5 ML",17945.40,Pricey
"BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA",YERVOY,"50 MG SOL INJ INC CT 1 FA VD INC X 10 ML",17758.28,Pricey
"CELGENE BRASIL PRODUTOS FARMACEUTICOS LTDA.",REVLIMID,"10 MG CAP CT BL AL PLAS TRANS X 21",17465.33,Pricey
"GRIFOLS BRASIL LTDA",NIULIVA,"10000 UI SOL INJ CX FA VD INC X 40 ML",17451.19,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Cotellic,"20 MG COM REV CT BL AL PLAS TRANS X 63",17376.44,Pricey
"HOSPIRA PRODUTOS HOSPITALARES LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 5 FA VD INC X 25 ML (REST HOSP)",17371.33,Pricey
"WYETH INDUSTRIA FARMACEUTICA LTDA",EVOTAXEL,"6 MG/ML SOL INJ CT 5 FA VD TRANS X 25 ML",17371.33,Pricey
"TAKEDA PHARMA LTDA.",NINLARO,"3 MG CAP DURA CT BL AL AL X 3",17330.28,Pricey
"GLAXOSMITHKLINE BRASIL LTDA",SYNFLORIX,"SUS INJ CT 100 FA VD INC X 0.5 ML",17294.82,Pricey
"OCTAPHARMA BRASIL LTDA",GAMMANORM,"165 MG/ML SOL INJ CT 20 FA VD INC X 20 ML",17211.69,Pricey
