medicineID,companyName,productName,description,substanceName,producttype,taxCriteria,hospitalexclusive,governmentdiscount,taxImunity,maxPrice
324,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",QIFTRIM,"800 MG + 160 MG COM CT BL AL PLAS INC X 10",trimetoprima|sulfametoxazol,Similar,II,N,N,N,8.39
325,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"40 MG COM REV CT 3 BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,52.48
326,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",RAMIPRIL,"2.5 MG COM CT STR AL/AL X 30",ramipril,Generic,I,N,N,N,52.10
327,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"10 MG COM REV CT BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,13.99
328,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"20 MG COM REV CT BL AL PLAS INC X 60",sinvastatina,Generic,I,N,N,N,56.98
332,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",LISINOPRIL,"10 MG COM CT BL AL PLAS BCO OPC X 30",lisinopril,Generic,I,N,N,N,22.87
333,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",LISINORETIC,"(10 + 12.5) MG COM CT 3 BL AL PLAS INC X 10",lisinopril|hidroclorotiazida,Similar,II,N,N,N,20.51
335,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",TOPIRAMATO,"100 MG COM REV CT BL AL AL X 30",topiramato,Generic,I,N,N,N,86.49
336,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",TOPIRAMATO,"25 MG COM REV CT BL AL AL X 30",topiramato,Generic,I,N,N,N,21.60
337,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"5MG COM REV CT 3BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,24.21
347,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",FLUTAMIDA,"250 MG COM CT BL AL PLAS INC X 21",flutamida,Generic,I,N,N,N,46.15
349,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA","CLORIDRATO DE RANITIDINA","150 MG COM REV CT BL AL/AL X 10","cloridrato de ranitidina",Generic,I,N,N,N,6.12
352,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA","MALEATO DE ENALAPRIL","10 MG COM CT BL AL/AL X 10","maleato de enalapril",Generic,I,N,N,N,6.33
353,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA","LOSARTANA POTASSICA","50 MG COM REV CT BL AL PLAS INC X 14","losartana potassica",Generic,I,N,N,N,14.74
438,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A","DICLOF. DE SODIO","INJ 25MG/ML (CX C/50 AMP C/3ML)",diclofenaco,Generic,I,N,N,N,45.11
439,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A","DICLOF. DE SODIO","INJ 75MG (CX C/5 AMP C/3ML)",diclofenaco,Generic,I,N,N,N,4.31
503,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BECLONATO,"5 MG + 2 MG SUS INJ CT 50 AMP VD INC X 1 ML + SERINGA (EMB HOSP)","fosfato dissodico de betametasona|dipropionato de betametasona",Similar,II,S,N,N,575.91
505,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"SUS 200MG/5ML+40MG/5ML(CX C/100 VD C/100ML)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,815.32
507,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"COMP (CX C/50 BL C/10)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,188.66
508,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"SUS 200MG/5ML+40MG/5ML(CX C/50 VD C/50ML)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,198.44
510,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"400 MG + 80 MG COM CT 6 BL AL PLAS INC X 10",trimetoprima|sulfametoxazol,Similar,II,N,N,N,20.23
514,"JUSTESA IMAGEM DO BRASIL S/A",PIELOGRAF,"FRASCO 30 ML 76%","diatrizoato de meglumina|NC/NI",Generic,I,N,N,N,24.40
548,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"SUS 200MG/5ML+40MG/5ML(CX C/100 VD C/50ML)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,396.85
550,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"80 MG/ML + 16 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML",trimetoprima|sulfametoxazol,Similar,II,N,N,N,82.44
558,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"SUS 200MG/5ML+40MG/5ML(CX C/50 VD C/100ML)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,407.66
559,"NEOLATINA COMERCIO E INDUSTRIA FARMACEUTICA S.A",BAC-SULFITRIN,"COMP (CX C/01 BL C/12)",trimetoprima|sulfametoxazol,Similar,II,N,N,N,6.04
584,"BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A","DIPROPIONATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA","5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER","fosfato dissodico de betametasona|dipropionato de betametasona",Generic,I,N,N,N,8.48
594,"SANOFI-AVENTIS FARMACEUTICA LTDA","TRINESTRIL AP","SOL INJ CT AMP VD INC X 2 ML","hexaidrobenzoato de estradiol",Similar,II,N,N,N,4.96
612,"BAXTER HOSPITALAR LTDA","CLORETO DE SODIO - BAXTER","9 MG/ML SOL INJ CX BOLS PLAS INC FLEX X 100 ML","cloreto de sodio",Specific,II,N,N,N,6.38
619,"SANOFI-AVENTIS FARMACEUTICA LTDA","SULFATO DE HIDROXICLOROQUINA",CONTROLE,"sulfato de hidroxicloroquina",Generic,I,N,N,N,124.47
660,"SANOFI-AVENTIS FARMACEUTICA LTDA","REVENIL DOSPAN","XPE CT FR VD AMB X 100 ML","succinato de doxilamina|cloridrato de fenilefrina|cloridrato de etafedrina|ambufilina",Similar,II,N,N,N,7.26
661,"SANOFI-AVENTIS FARMACEUTICA LTDA","REVENIL DOSPAN","COM DES LENTA CT 3 STR X 4","cloridrato de fenilefrina|NC/NI",Similar,II,N,N,N,9.34
662,"SANOFI-AVENTIS FARMACEUTICA LTDA",REVENIL,"XPE CT FR VD AMB X 100 ML","succinato de doxilamina|cloridrato de etafedrina|ambufilina",Similar,II,N,N,N,6.27
742,"NOVA QUIMICA FARMACEUTICA S/A",LEVOFLOXACINO,"250MG COM REV CT BL AL PLAS INC X 3",levofloxacino,Generic,I,N,N,N,12.74
743,"NOVA QUIMICA FARMACEUTICA S/A",ITRACONAZOL,"100 MG CAPS GEL DURA CT 7 BL AL PLAS INC X 4",itraconazol,Generic,I,N,N,N,95.36
744,"NOVA QUIMICA FARMACEUTICA S/A",ITRACONAZOL,"100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 4",itraconazol,Generic,I,N,N,N,26.13
745,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO","50 MG COM REV CT 2 BL AL PLAS INC X 10","diclofenaco sodico|diclofenaco",Generic,I,N,N,N,10.99
746,"NOVA QUIMICA FARMACEUTICA S/A",ITRACONAZOL,"100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 10",itraconazol,Generic,I,N,N,N,54.83
747,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 50 BL AL PLAS INC X 6 (EMB HOSP)","norfloxacino|besilato de anlodipino",Generic,I,S,N,N,432.21
750,"NOVA QUIMICA FARMACEUTICA S/A",DOLOBENE,"CT BG AL X 50G","HEPARINA SODICA SUINA",New,II,N,N,N,12.02
751,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO","100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 500 (EMB HOSP)","diclofenaco sodico",Generic,I,S,N,N,477.73
752,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO","100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 20","diclofenaco sodico",Generic,I,N,N,N,19.10
753,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO","100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 1000 (EMB HOSP)","diclofenaco sodico",Generic,I,S,N,N,955.42
754,"NOVA QUIMICA FARMACEUTICA S/A",ITRACONAZOL,"100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 15",itraconazol,Generic,I,N,N,N,62.39
759,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"5 MG COM REV CR STRIP AL X 10",ramipril,Generic,I,N,N,N,20.77
763,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"40 MG 3 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,57.59
764,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"40 MG 1 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,21.27
765,"NOVA QUIMICA FARMACEUTICA S/A",AXETILCEFUROXIMA,"125 MG/5ML SUSP FR X 50 ML",axetilcefuroxima,Generic,I,N,N,N,21.94
766,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"20 MG 1 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,18.18
767,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"80 MG 50 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,960.07
768,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"10 MG COM REV CT 1 BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,21.27
771,"NOVA QUIMICA FARMACEUTICA S/A",OMEPRAZOL,"20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 28",omeprazol,Generic,I,N,N,N,53.51
772,"NOVA QUIMICA FARMACEUTICA S/A",OMEPRAZOL,"20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 7",omeprazol,Generic,I,N,N,N,14.47
773,"NOVA QUIMICA FARMACEUTICA S/A","CLORIDRATO DE FLUOXETINA","CAP GEL DURA CT 7 BL AL PLAS INC X 10","cloridrato de fluoxetina",Generic,I,N,N,N,175.00
774,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"20 MG 3 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,63.99
775,"NOVA QUIMICA FARMACEUTICA S/A","CLORIDRATO DE PAROXETINA","20 MG COM REV CT BL AL PLAS INC X 10","cloridrato de paroxetina",Generic,I,N,N,N,24.28
776,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 50 BL AL PLAS INC X 14 (EMB HOSP)","norfloxacino|besilato de anlodipino",Generic,I,S,N,N,989.18
777,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"5 MG COM REV CR STRIP AL X20",ramipril,Generic,I,N,N,N,43.75
778,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"5 MG COM REV CR STRIP AL X 15",ramipril,Generic,I,N,N,N,34.39
779,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"2.5 MG COM REV CT STRIP AL X 20",ramipril,Generic,I,N,N,N,21.08
780,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"2.5 MG COM REV CT STRIP AL X 15",ramipril,Generic,I,N,N,N,17.24
781,"NOVA QUIMICA FARMACEUTICA S/A",RAMIPRIL,"2.5MG COM REVES CT STR AL X 10",ramipril,Generic,I,N,N,N,10.39
782,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"80 MG 100 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,1920.16
783,"NOVA QUIMICA FARMACEUTICA S/A",CINARIZINA,"25 MG COM CT BL AL PLAS INC X 10",cinarizina,Generic,I,N,N,N,2.20
784,"NOVA QUIMICA FARMACEUTICA S/A",SINVASTATINA,"80 MG 3 BL X 10 COMP",sinvastatina,Generic,I,N,N,N,57.59
785,"NOVA QUIMICA FARMACEUTICA S/A","CLORIDRATO DE METFORMINA","500 MG COM REV CT BL AL PLAS INC X 10","cloridrato de metformina",Generic,I,N,N,N,1.99
790,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE MIDAZOLAM","15 MG COM REV CT BL AL PLAS INC X 10","maleato de midazolam",Generic,I,N,N,N,11.59
791,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 5 BL AL PLAS INC X 14 (EMB HOSP)",norfloxacino,Generic,I,S,N,N,98.92
793,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE MIDAZOLAM","7.5 MG COM REV CT BL AL PLAS INC X 30","maleato de midazolam",Generic,I,N,N,N,17.41
794,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE MIDAZOLAM","7.5 MG COM REV CT BL AL PLAS INC X 20","maleato de midazolam",Generic,I,N,N,N,11.59
795,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE MIDAZOLAM","7.5 MG COM REV CT BL AL PLAS INC X 10","maleato de midazolam",Generic,I,N,N,N,5.79
797,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE MIDAZOLAM","15 MG COM REV CT BL AL PLAS INC X 20","maleato de midazolam",Generic,I,N,N,N,23.20
798,"NOVA QUIMICA FARMACEUTICA S/A","PRAVASTATINA SODICA","20 MG COM CT BL AL/AL X 10","pravastatina sodica",Generic,I,N,N,N,12.72
799,"NOVA QUIMICA FARMACEUTICA S/A","CLORIDRATO DE TRAMADOL","50 MG/ML SOL INJ CT EST 6 AMP VD INC X 2 ML","cloridrato de tramadol",Generic,I,N,N,N,29.56
800,"NOVA QUIMICA FARMACEUTICA S/A","PRAVASTATINA SODICA","10 MG COM CT BL AL/AL X 10","pravastatina sodica",Generic,I,N,S,N,10.61
833,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CX 25 BL AL PLAS INC X 14 (EMB HOSP)",norfloxacino,Generic,I,S,N,N,494.58
844,"NOVA QUIMICA FARMACEUTICA S/A",OMEPRAZOL,"20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 14",omeprazol,Generic,I,N,N,N,27.61
872,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","12.5MG COM REV CT 1 BL AL PLAS OPC X 10","losartana potassica|losartana",Generic,I,N,N,N,11.09
873,"NOVA QUIMICA FARMACEUTICA S/A",LISINOPRIL,"20 MG COM CT 1 BL AL PLAS INC X 10",lisinopril,Generic,I,N,N,N,15.44
874,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","50MG COM REV CT 50 BL AL PLAS OPC X 14 (EMB HOSP)","losartana potassica|losartana",Generic,I,S,N,N,1281.01
875,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","50MG COM REV CT 100 BL AL PLAS OPC X 14 (EMB HOSP)","losartana potassica|losartana",Generic,I,S,N,N,2562.01
876,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","50MG COM REV CT 1 BL AL PLAS OPC X 10","losartana potassica|losartana",Generic,I,N,N,N,18.27
877,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","12.5MG COM REV CT 50 BL AL PLAS OPC X 21 (EMB HOSP)","losartana potassica|losartana",Generic,I,S,N,N,1167.03
878,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"10 MG COM CT 3 BL AL PLAS INC X 10",lovastatina,Generic,I,N,S,N,27.14
879,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","12.5MG COM REV CT 1 BL AL PLAS OPC X 21","losartana potassica",Generic,I,N,N,N,23.33
880,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"20 MG COM CT 1 BL AL PLAS INC X 10",lovastatina,Generic,I,N,S,N,16.15
883,"NOVA QUIMICA FARMACEUTICA S/A",LISINOPRIL,"5 MG COM CT 3 BL AL PLAS INC X 10",lisinopril,Generic,I,N,N,N,20.39
884,"NOVA QUIMICA FARMACEUTICA S/A",LISINOPRIL,"10 MG COM CT 3 BL AL PLAS INC X 10",lisinopril,Generic,I,N,N,N,32.71
885,"NOVA QUIMICA FARMACEUTICA S/A",LISINOPRIL,"5 MG COM CT 1 BL AL PLAS INC X 10",lisinopril,Generic,I,N,N,N,5.97
886,"NOVA QUIMICA FARMACEUTICA S/A","CLORIDRATO DE FLUOXETINA","20 MG CAP GEL DURA CT BL AL PLAS INC X 30","cloridrato de fluoxetina",Generic,I,N,N,N,72.74
887,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA","12.5MG COM REV CT 100 BL AL PLAS OPC X 21","losartana potassica|losartana",Generic,I,N,N,N,2334.08
889,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 2 BL AL PLAS INC X 7",norfloxacino,Generic,I,N,N,N,19.76
890,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 2 BL AL PLAS INC X 10",norfloxacino,Generic,I,N,N,N,28.82
891,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,"400MG COM REV CT 100 BL AL PLAS INC X 6 (EMB HOSP)",norfloxacino,Generic,I,S,N,N,15.86
894,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"10MG COM CT 1 BL AL PLAS INC X 10",lovastatina,Generic,I,N,N,N,8.14
896,"NOVA QUIMICA FARMACEUTICA S/A",LISINOPRIL,"10 MG 1 BL X 10",lisinopril,Generic,I,N,N,N,9.62
897,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE ENALAPRIL","20MG COM CT 4 BL AL/AL X 7","maleato de enalapril",Generic,I,N,N,N,33.00
898,"NOVA QUIMICA FARMACEUTICA S/A","MALEATO DE ENALAPRIL","10MG COM CT 4 BL AL/AL X 7","maleato de enalapril",Generic,I,N,N,N,26.77
899,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"40MG COM CT 3 BL AL PLAS INC X 10",lovastatina,Generic,I,N,N,N,65.80
900,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"40 MG COM CT 1 BL AL PLAS INC X 10",lovastatina,Generic,I,N,S,N,24.31
901,"NOVA QUIMICA FARMACEUTICA S/A",LOVASTATINA,"20 MG COM CT 3 BL AL PLAS INC X 10",lovastatina,Generic,I,N,S,N,44.00
