pharmacyName,"coalesce(DiseaseName, 'Total')",Prescription_Count
"Atlas Drugs","Parkinson's disease",1
"Atlas Drugs",Stroke,1
"Atlas Drugs","Thromboangiitis obliterans",1
"Atlas Drugs","Anorexia nervosa",1
"Banks Apothecary",Total,20
"Banks Apothecary","Diabetes mellitus type 1",2
"Banks Apothecary","Low back pain",2
"Banks Apothecary","Chronic fatigue syndrome",2
"Banks Apothecary",Autism,1
"Banks Apothecary","Bipolar disorder",1
"Banks Apothecary","Chronic obstructive pulmonary disease",1
"Banks Apothecary","Crohn's disease",1
"Banks Apothecary","Diabetes mellitus type 2",1
"Banks Apothecary","Irritable bowel syndrome",1
"Banks Apothecary","Metabolic syndrome",1
"Banks Apothecary","Multiple sclerosis",1
"Banks Apothecary","Myocardial infarction",1
"Banks Apothecary","Panic disorder",1
"Banks Apothecary",Sarcoidosis,1
"Banks Apothecary",Stroke,1
"Banks Apothecary",Vasculitis,1
"Banks Apothecary","Anxiety disorder",1
"Bartell Drugs",Total,16
"Bartell Drugs","Irritable bowel syndrome",3
"Bartell Drugs","Multiple sclerosis",2
"Bartell Drugs","Alzheimer's disease",1
"Bartell Drugs","Anxiety disorder",1
"Bartell Drugs",Asthma,1
"Bartell Drugs",Cancer,1
"Bartell Drugs","Coronary heart disease",1
"Bartell Drugs","Diabetes mellitus type 1",1
"Bartell Drugs",Epilepsy,1
"Bartell Drugs",Lupus,1
"Bartell Drugs","Metabolic syndrome",1
"Bartell Drugs","Myocardial infarction",1
"Bartell Drugs","Tourette syndrome",1
"Be Well",Total,23
"Be Well","Autoimmune diseases",3
"Be Well",Asthma,2
"Be Well","Parkinson's disease",2
"Be Well","Bipolar disorder",1
"Be Well",Cancer,1
"Be Well","Chronic obstructive pulmonary disease",1
"Be Well",Depression,1
"Be Well","Diabetes mellitus type 2",1
"Be Well","Dilated cardiomyopathy",1
"Be Well",Epilepsy,1
"Be Well","Guillain–Barré syndrome",1
"Be Well","Irritable bowel syndrome",1
"Be Well","Myocardial infarction",1
"Be Well","Obsessive–compulsive disorder",1
"Be Well","Anorexia nervosa",1
"Be Well","Rheumatoid arthritis",1
"Be Well",Sarcoidosis,1
"Be Well",Schizophrenia,1
"Be Well","Amyotrophic lateral sclerosis",1
"Below Drug",Total,19
"Below Drug","Amyotrophic lateral sclerosis",2
"Below Drug","Anxiety disorder",2
"Below Drug","Chronic obstructive pulmonary disease",2
"Below Drug","Coronary heart disease",2
"Below Drug","Crohn's disease",2
"Below Drug","Autoimmune diseases",1
"Below Drug","Bipolar disorder",1
"Below Drug",Dementia,1
"Below Drug","Diabetes mellitus type 1",1
"Below Drug",Epilepsy,1
"Below Drug","Multiple sclerosis",1
"Below Drug","Myocardial infarction",1
"Below Drug",Obesity,1
"Below Drug","Thromboangiitis obliterans",1
"Better Life",Total,3
"Better Life","Bipolar disorder",1
"Better Life",Psoriasis,1
"Better Life","Attention deficit hyperactivity disorder",1
"Better You",Total,13
"Better You",Cancer,3
"Better You",Asthma,1
"Better You","Chronic obstructive pulmonary disease",1
"Better You","Crohn's disease",1
"Better You","Diabetes mellitus type 2",1
"Better You","Metabolic syndrome",1
"Better You","Myocardial infarction",1
"Better You","Obsessive–compulsive disorder",1
"Better You","Rheumatoid arthritis",1
"Better You","Thromboangiitis obliterans",1
"Better You",Vasculitis,1
"Beyond Health",Total,14
"Beyond Health","Alzheimer's disease",2
"Beyond Health","Chronic obstructive pulmonary disease",2
"Beyond Health","Amyotrophic lateral sclerosis",1
"Beyond Health","Autoimmune diseases",1
"Beyond Health","Chronic fatigue syndrome",1
"Beyond Health",Depression,1
"Beyond Health","Multiple sclerosis",1
"Beyond Health",Psoriasis,1
"Beyond Health",Schizophrenia,1
"Beyond Health","Thromboangiitis obliterans",1
"Beyond Health","Tourette syndrome",1
"Beyond Health",Vasculitis,1
"Bio Scrip",Total,25
"Bio Scrip","Thromboangiitis obliterans",3
"Bio Scrip","Myocardial infarction",2
"Bio Scrip",Psoriasis,2
"Bio Scrip","Diabetes mellitus type 1",2
"Bio Scrip","Guillain–Barré syndrome",2
"Bio Scrip","Anorexia nervosa",1
"Bio Scrip",Asthma,1
"Bio Scrip",Atherosclerosis,1
"Bio Scrip",Cancer,1
"Bio Scrip","Chronic fatigue syndrome",1
"Bio Scrip","Crohn's disease",1
"Bio Scrip","Multiple sclerosis",1
"Bio Scrip","Low back pain",1
"Bio Scrip",Lupus,1
"Bio Scrip",Sarcoidosis,1
"Bio Scrip",Stroke,1
"Bio Scrip","Diabetes mellitus type 2",1
"Bio Scrip",Vasculitis,1
"Bio Scrip",Dementia,1
"Bioplus Specialty",Total,13
"Bioplus Specialty","Multiple sclerosis",2
"Bioplus Specialty","Parkinson's disease",2
"Bioplus Specialty",Autism,1
"Bioplus Specialty","Coronary heart disease",1
"Bioplus Specialty","Crohn's disease",1
"Bioplus Specialty","Diabetes mellitus type 1",1
"Bioplus Specialty","Alzheimer's disease",1
"Bioplus Specialty",Obesity,1
"Bioplus Specialty","Anorexia nervosa",1
"Bioplus Specialty","Tourette syndrome",1
"Bioplus Specialty","Attention deficit hyperactivity disorder",1
"Blink Health",Total,11
"Blink Health",Depression,2
"Blink Health",Sarcoidosis,2
"Blink Health","Anorexia nervosa",1
"Blink Health","Attention deficit hyperactivity disorder",1
"Blink Health","Diabetes mellitus type 2",1
"Blink Health","Metabolic syndrome",1
"Blink Health",Obesity,1
"Blink Health","Panic disorder",1
"Blink Health","Parkinson's disease",1
"Brennen Drugs Co",Total,10
"Brennen Drugs Co","Diabetes mellitus type 2",2
"Brennen Drugs Co","Anxiety disorder",2
"Brennen Drugs Co",Depression,1
"Brennen Drugs Co","Autoimmune diseases",1
"Brennen Drugs Co",Obesity,1
"Brennen Drugs Co","Parkinson's disease",1
"Brennen Drugs Co",Psoriasis,1
"Brennen Drugs Co","Bipolar disorder",1
"Cardinal Health",Total,12
"Cardinal Health","Autoimmune diseases",2
"Cardinal Health","Anxiety disorder",1
"Cardinal Health",Autism,1
"Cardinal Health","Chronic fatigue syndrome",1
"Cardinal Health","Crohn's disease",1
"Cardinal Health",Dementia,1
"Cardinal Health",Depression,1
"Cardinal Health","Dilated cardiomyopathy",1
"Cardinal Health","Guillain–Barré syndrome",1
"Cardinal Health","Myocardial infarction",1
"Cardinal Health","Obsessive–compulsive disorder",1
"Care Pharmacy",Total,24
"Care Pharmacy","Metabolic syndrome",3
"Care Pharmacy","Alzheimer's disease",2
"Care Pharmacy","Anorexia nervosa",2
"Care Pharmacy",Atherosclerosis,2
"Care Pharmacy","Attention deficit hyperactivity disorder",2
"Care Pharmacy","Guillain–Barré syndrome",2
"Care Pharmacy","Low back pain",2
"Care Pharmacy",Psoriasis,2
"Care Pharmacy",Sarcoidosis,2
"Care Pharmacy","Tourette syndrome",2
"Care Pharmacy",Autism,1
"Care Pharmacy",Lupus,1
"Care Pharmacy","Multiple sclerosis",1
CareFirst,Total,14
CareFirst,"Obsessive–compulsive disorder",2
CareFirst,"Bipolar disorder",1
CareFirst,Dementia,1
CareFirst,Depression,1
CareFirst,"Diabetes mellitus type 1",1
CareFirst,"Diabetes mellitus type 2",1
CareFirst,"Irritable bowel syndrome",1
CareFirst,Lupus,1
CareFirst,"Metabolic syndrome",1
CareFirst,Obesity,1
CareFirst,"Alzheimer's disease",1
CareFirst,"Thromboangiitis obliterans",1
CareFirst,"Anorexia nervosa",1
Caremark,Total,15
Caremark,"Anorexia nervosa",2
Caremark,"Attention deficit hyperactivity disorder",2
Caremark,"Thromboangiitis obliterans",2
Caremark,"Alzheimer's disease",1
Caremark,"Bipolar disorder",1
Caremark,Cancer,1
Caremark,"Coronary heart disease",1
Caremark,Depression,1
Caremark,"Diabetes mellitus type 1",1
Caremark,Epilepsy,1
Caremark,"Parkinson's disease",1
Caremark,"Rheumatoid arthritis",1
Carepoint,Total,19
Carepoint,"Chronic fatigue syndrome",3
Carepoint,"Attention deficit hyperactivity disorder",1
Carepoint,"Autoimmune diseases",1
Carepoint,Cancer,1
Carepoint,"Alzheimer's disease",1
Carepoint,"Coronary heart disease",1
Carepoint,"Guillain–Barré syndrome",1
Carepoint,"Multiple sclerosis",1
Carepoint,"Myocardial infarction",1
Carepoint,Obesity,1
Carepoint,"Panic disorder",1
Carepoint,"Parkinson's disease",1
Carepoint,"Rheumatoid arthritis",1
Carepoint,Sarcoidosis,1
Carepoint,Schizophrenia,1
Carepoint,"Tourette syndrome",1
Carepoint,Atherosclerosis,1
"Cash Saver Pharmacy",Total,14
"Cash Saver Pharmacy","Diabetes mellitus type 1",2
"Cash Saver Pharmacy","Irritable bowel syndrome",2
"Cash Saver Pharmacy","Panic disorder",2
"Cash Saver Pharmacy","Chronic obstructive pulmonary disease",1
"Cash Saver Pharmacy","Anxiety disorder",1
"Cash Saver Pharmacy",Atherosclerosis,1
"Cash Saver Pharmacy",Obesity,1
"Cash Saver Pharmacy","Autoimmune diseases",1
"Cash Saver Pharmacy",Schizophrenia,1
"Cash Saver Pharmacy","Thromboangiitis obliterans",1
"Cash Saver Pharmacy","Bipolar disorder",1
"Cashway Pharmacy",Total,17
"Cashway Pharmacy",Atherosclerosis,2
"Cashway Pharmacy",Cancer,1
"Cashway Pharmacy","Chronic fatigue syndrome",1
"Cashway Pharmacy",Depression,1
"Cashway Pharmacy","Diabetes mellitus type 1",1
"Cashway Pharmacy","Dilated cardiomyopathy",1
"Cashway Pharmacy",Epilepsy,1
"Cashway Pharmacy","Guillain–Barré syndrome",1
"Cashway Pharmacy","Irritable bowel syndrome",1
"Cashway Pharmacy","Low back pain",1
"Cashway Pharmacy","Metabolic syndrome",1
"Cashway Pharmacy","Panic disorder",1
"Cashway Pharmacy","Parkinson's disease",1
"Cashway Pharmacy",Psoriasis,1
"Cashway Pharmacy",Stroke,1
"Cashway Pharmacy","Thromboangiitis obliterans",1
"Cedra Pharmacy",Total,14
"Cedra Pharmacy","Thromboangiitis obliterans",2
"Cedra Pharmacy","Autoimmune diseases",1
"Cedra Pharmacy",Cancer,1
"Cedra Pharmacy","Chronic fatigue syndrome",1
"Cedra Pharmacy","Chronic obstructive pulmonary disease",1
"Cedra Pharmacy","Coronary heart disease",1
"Cedra Pharmacy","Diabetes mellitus type 2",1
"Cedra Pharmacy","Irritable bowel syndrome",1
"Cedra Pharmacy",Lupus,1
"Cedra Pharmacy","Metabolic syndrome",1
"Cedra Pharmacy","Multiple sclerosis",1
"Cedra Pharmacy","Amyotrophic lateral sclerosis",1
"Cedra Pharmacy","Anorexia nervosa",1
"Central Drug Store",Total,23
"Central Drug Store","Anxiety disorder",2
"Central Drug Store",Atherosclerosis,2
"Central Drug Store","Bipolar disorder",2
"Central Drug Store","Obsessive–compulsive disorder",2
"Central Drug Store",Vasculitis,2
"Central Drug Store","Chronic obstructive pulmonary disease",1
"Central Drug Store","Coronary heart disease",1
"Central Drug Store",Depression,1
"Central Drug Store","Diabetes mellitus type 1",1
"Central Drug Store","Diabetes mellitus type 2",1
"Central Drug Store",Epilepsy,1
"Central Drug Store","Irritable bowel syndrome",1
"Central Drug Store",Lupus,1
"Central Drug Store","Metabolic syndrome",1
"Central Drug Store","Multiple sclerosis",1
"Central Drug Store",Obesity,1
"Central Drug Store","Panic disorder",1
"Central Drug Store",Schizophrenia,1
"Central Rx",Total,19
"Central Rx",Schizophrenia,2
"Central Rx","Guillain–Barré syndrome",2
"Central Rx","Bipolar disorder",1
"Central Rx","Crohn's disease",1
"Central Rx",Dementia,1
"Central Rx","Diabetes mellitus type 1",1
"Central Rx","Diabetes mellitus type 2",1
"Central Rx",Asthma,1
"Central Rx","Alzheimer's disease",1
"Central Rx","Irritable bowel syndrome",1
"Central Rx",Lupus,1
"Central Rx",Psoriasis,1
"Central Rx","Rheumatoid arthritis",1
"Central Rx","Dilated cardiomyopathy",1
"Central Rx",Stroke,1
"Central Rx","Tourette syndrome",1
"Central Rx","Anxiety disorder",1
Centrico,Total,19
Centrico,"Crohn's disease",2
Centrico,"Dilated cardiomyopathy",2
Centrico,"Alzheimer's disease",1
Centrico,Asthma,1
Centrico,"Attention deficit hyperactivity disorder",1
Centrico,Autism,1
Centrico,"Bipolar disorder",1
Centrico,"Coronary heart disease",1
Centrico,"Diabetes mellitus type 2",1
Centrico,"Guillain–Barré syndrome",1
Centrico,"Metabolic syndrome",1
Centrico,"Panic disorder",1
Centrico,Psoriasis,1
Centrico,"Rheumatoid arthritis",1
Centrico,Schizophrenia,1
Centrico,"Tourette syndrome",1
Centrico,"Amyotrophic lateral sclerosis",1
"Cherry Street Pharmacy",Total,11
"Cherry Street Pharmacy","Amyotrophic lateral sclerosis",2
"Cherry Street Pharmacy",Asthma,1
"Cherry Street Pharmacy",Autism,1
"Cherry Street Pharmacy","Diabetes mellitus type 2",1
"Cherry Street Pharmacy","Low back pain",1
"Cherry Street Pharmacy",Obesity,1
"Cherry Street Pharmacy","Parkinson's disease",1
"Cherry Street Pharmacy",Psoriasis,1
"Cherry Street Pharmacy",Schizophrenia,1
"Cherry Street Pharmacy","Tourette syndrome",1
"City Drug",Total,15
"City Drug",Autism,3
"City Drug","Anxiety disorder",1
"City Drug",Atherosclerosis,1
"City Drug","Autoimmune diseases",1
"City Drug","Bipolar disorder",1
"City Drug",Cancer,1
"City Drug","Coronary heart disease",1
"City Drug",Dementia,1
"City Drug","Guillain–Barré syndrome",1
"City Drug","Myocardial infarction",1
"City Drug","Obsessive–compulsive disorder",1
"City Drug",Psoriasis,1
"City Drug","Anorexia nervosa",1
"Community Pharmacy",Total,15
"Community Pharmacy","Tourette syndrome",2
"Community Pharmacy",Vasculitis,2
"Community Pharmacy","Amyotrophic lateral sclerosis",1
"Community Pharmacy","Anxiety disorder",1
"Community Pharmacy","Bipolar disorder",1
"Community Pharmacy",Depression,1
"Community Pharmacy","Diabetes mellitus type 1",1
"Community Pharmacy","Diabetes mellitus type 2",1
"Community Pharmacy",Lupus,1
"Community Pharmacy",Obesity,1
"Community Pharmacy","Obsessive–compulsive disorder",1
"Community Pharmacy",Sarcoidosis,1
"Community Pharmacy",Stroke,1
"Compass Health Care",Total,16
"Compass Health Care","Chronic obstructive pulmonary disease",2
"Compass Health Care","Metabolic syndrome",2
"Compass Health Care",Dementia,1
"Compass Health Care","Diabetes mellitus type 1",1
"Compass Health Care","Diabetes mellitus type 2",1
"Compass Health Care","Guillain–Barré syndrome",1
"Compass Health Care","Irritable bowel syndrome",1
"Compass Health Care",Lupus,1
"Compass Health Care",Autism,1
"Compass Health Care","Myocardial infarction",1
"Compass Health Care",Psoriasis,1
"Compass Health Care",Sarcoidosis,1
"Compass Health Care",Schizophrenia,1
"Compass Health Care","Coronary heart disease",1
"Concord Pharmacy",Total,24
"Concord Pharmacy","Diabetes mellitus type 1",3
"Concord Pharmacy","Crohn's disease",2
"Concord Pharmacy","Multiple sclerosis",2
"Concord Pharmacy","Alzheimer's disease",1
"Concord Pharmacy","Anorexia nervosa",1
"Concord Pharmacy",Asthma,1
"Concord Pharmacy","Autoimmune diseases",1
"Concord Pharmacy",Depression,1
"Concord Pharmacy","Coronary heart disease",1
"Concord Pharmacy","Dilated cardiomyopathy",1
"Concord Pharmacy","Irritable bowel syndrome",1
"Concord Pharmacy","Low back pain",1
"Concord Pharmacy",Dementia,1
"Concord Pharmacy","Myocardial infarction",1
"Concord Pharmacy","Obsessive–compulsive disorder",1
"Concord Pharmacy",Sarcoidosis,1
"Concord Pharmacy",Schizophrenia,1
"Concord Pharmacy",Stroke,1
"Concord Pharmacy","Tourette syndrome",1
"Concord Pharmacy","Chronic obstructive pulmonary disease",1
"Confidential Drug",Total,15
"Confidential Drug","Diabetes mellitus type 2",2
"Confidential Drug",Obesity,2
"Confidential Drug","Chronic obstructive pulmonary disease",1
"Confidential Drug","Crohn's disease",1
"Confidential Drug","Amyotrophic lateral sclerosis",1
"Confidential Drug","Irritable bowel syndrome",1
"Confidential Drug","Low back pain",1
"Confidential Drug","Metabolic syndrome",1
"Confidential Drug","Bipolar disorder",1
"Confidential Drug","Parkinson's disease",1
"Confidential Drug","Rheumatoid arthritis",1
"Confidential Drug",Schizophrenia,1
"Confidential Drug",Cancer,1
"Covenant Pharmacy",Total,19
"Covenant Pharmacy","Amyotrophic lateral sclerosis",2
"Covenant Pharmacy",Lupus,2
"Covenant Pharmacy","Panic disorder",2
"Covenant Pharmacy",Sarcoidosis,2
"Covenant Pharmacy","Anxiety disorder",1
"Covenant Pharmacy",Atherosclerosis,1
"Covenant Pharmacy","Attention deficit hyperactivity disorder",1
"Covenant Pharmacy",Autism,1
"Covenant Pharmacy","Bipolar disorder",1
"Covenant Pharmacy","Crohn's disease",1
"Covenant Pharmacy",Depression,1
"Covenant Pharmacy","Diabetes mellitus type 1",1
"Covenant Pharmacy","Irritable bowel syndrome",1
"Covenant Pharmacy","Myocardial infarction",1
"Covenant Pharmacy","Tourette syndrome",1
Crossroads,Total,8
Crossroads,Atherosclerosis,1
Crossroads,"Autoimmune diseases",1
Crossroads,"Crohn's disease",1
Crossroads,"Diabetes mellitus type 1",1
Crossroads,"Irritable bowel syndrome",1
Crossroads,Lupus,1
Crossroads,Obesity,1
Crossroads,"Panic disorder",1
"Customceutical Compounding",Total,16
"Customceutical Compounding","Crohn's disease",2
"Customceutical Compounding","Tourette syndrome",2
"Customceutical Compounding","Bipolar disorder",1
"Customceutical Compounding",Dementia,1
"Customceutical Compounding","Diabetes mellitus type 1",1
"Customceutical Compounding","Guillain–Barré syndrome",1
"Customceutical Compounding","Low back pain",1
"Customceutical Compounding","Metabolic syndrome",1
"Customceutical Compounding",Obesity,1
"Customceutical Compounding","Obsessive–compulsive disorder",1
"Customceutical Compounding","Rheumatoid arthritis",1
"Customceutical Compounding","Thromboangiitis obliterans",1
"Customceutical Compounding","Anxiety disorder",1
"Customceutical Compounding",Autism,1
"Dakota Drug",Total,19
"Dakota Drug","Anxiety disorder",3
"Dakota Drug","Alzheimer's disease",2
"Dakota Drug",Atherosclerosis,2
"Dakota Drug","Anorexia nervosa",1
"Dakota Drug",Asthma,1
"Dakota Drug",Autism,1
"Dakota Drug",Dementia,1
"Dakota Drug",Depression,1
"Dakota Drug","Diabetes mellitus type 2",1
"Dakota Drug",Epilepsy,1
"Dakota Drug","Metabolic syndrome",1
"Dakota Drug",Psoriasis,1
"Dakota Drug","Rheumatoid arthritis",1
"Dakota Drug","Tourette syndrome",1
"Dakota Drug",Vasculitis,1
"DFW Wellness",Total,13
"DFW Wellness","Crohn's disease",2
"DFW Wellness",Stroke,2
"DFW Wellness",Vasculitis,2
"DFW Wellness","Alzheimer's disease",1
"DFW Wellness",Obesity,1
"DFW Wellness","Panic disorder",1
"DFW Wellness",Sarcoidosis,1
"DFW Wellness","Autoimmune diseases",1
"DFW Wellness",Cancer,1
"DFW Wellness","Chronic fatigue syndrome",1
"Discount Drug Mart",Total,16
"Discount Drug Mart","Guillain–Barré syndrome",2
"Discount Drug Mart",Lupus,2
"Discount Drug Mart","Thromboangiitis obliterans",2
"Discount Drug Mart",Asthma,1
"Discount Drug Mart","Attention deficit hyperactivity disorder",1
"Discount Drug Mart",Epilepsy,1
"Discount Drug Mart","Irritable bowel syndrome",1
"Discount Drug Mart","Low back pain",1
"Discount Drug Mart","Myocardial infarction",1
"Discount Drug Mart",Obesity,1
"Discount Drug Mart",Psoriasis,1
"Discount Drug Mart","Rheumatoid arthritis",1
"Discount Drug Mart","Tourette syndrome",1
"Discount Drugs",Total,19
"Discount Drugs",Asthma,3
"Discount Drugs",Atherosclerosis,2
"Discount Drugs","Crohn's disease",2
"Discount Drugs","Myocardial infarction",2
"Discount Drugs","Tourette syndrome",2
"Discount Drugs","Amyotrophic lateral sclerosis",1
"Discount Drugs","Anxiety disorder",1
"Discount Drugs","Autoimmune diseases",1
"Discount Drugs","Chronic obstructive pulmonary disease",1
"Discount Drugs",Dementia,1
"Discount Drugs",Epilepsy,1
"Discount Drugs","Metabolic syndrome",1
"Discount Drugs","Obsessive–compulsive disorder",1
"Doc Your Dose Pharmacy",Total,21
"Doc Your Dose Pharmacy",Atherosclerosis,3
"Doc Your Dose Pharmacy","Anxiety disorder",1
"Doc Your Dose Pharmacy","Bipolar disorder",1
"Doc Your Dose Pharmacy","Coronary heart disease",1
"Doc Your Dose Pharmacy","Crohn's disease",1
"Doc Your Dose Pharmacy","Diabetes mellitus type 2",1
"Doc Your Dose Pharmacy","Guillain–Barré syndrome",1
"Doc Your Dose Pharmacy","Irritable bowel syndrome",1
"Doc Your Dose Pharmacy",Lupus,1
"Doc Your Dose Pharmacy","Metabolic syndrome",1
"Doc Your Dose Pharmacy","Myocardial infarction",1
"Doc Your Dose Pharmacy","Obsessive–compulsive disorder",1
"Doc Your Dose Pharmacy","Panic disorder",1
"Doc Your Dose Pharmacy","Parkinson's disease",1
"Doc Your Dose Pharmacy",Psoriasis,1
"Doc Your Dose Pharmacy","Rheumatoid arthritis",1
"Doc Your Dose Pharmacy",Stroke,1
"Doc Your Dose Pharmacy","Thromboangiitis obliterans",1
"Doc Your Dose Pharmacy","Alzheimer's disease",1
"Drug Blend",Total,19
"Drug Blend",Sarcoidosis,2
"Drug Blend",Depression,2
"Drug Blend","Guillain–Barré syndrome",2
"Drug Blend","Myocardial infarction",2
"Drug Blend","Alzheimer's disease",1
"Drug Blend","Amyotrophic lateral sclerosis",1
"Drug Blend","Chronic obstructive pulmonary disease",1
"Drug Blend","Dilated cardiomyopathy",1
"Drug Blend","Metabolic syndrome",1
"Drug Blend","Panic disorder",1
"Drug Blend",Psoriasis,1
"Drug Blend",Dementia,1
"Drug Blend",Stroke,1
"Drug Blend","Tourette syndrome",1
"Drug Blend",Vasculitis,1
"Dutchtown Pharmacy",Total,17
"Dutchtown Pharmacy","Crohn's disease",2
"Dutchtown Pharmacy",Obesity,2
"Dutchtown Pharmacy",Stroke,2
"Dutchtown Pharmacy","Alzheimer's disease",1
"Dutchtown Pharmacy","Diabetes mellitus type 2",1
"Dutchtown Pharmacy","Low back pain",1
"Dutchtown Pharmacy",Asthma,1
"Dutchtown Pharmacy","Panic disorder",1
"Dutchtown Pharmacy",Psoriasis,1
"Dutchtown Pharmacy",Sarcoidosis,1
"Dutchtown Pharmacy","Autoimmune diseases",1
"Dutchtown Pharmacy","Tourette syndrome",1
"Dutchtown Pharmacy",Vasculitis,1
"Dutchtown Pharmacy",Cancer,1
"Eastlake Pharmacy",Total,19
"Eastlake Pharmacy","Alzheimer's disease",2
"Eastlake Pharmacy","Rheumatoid arthritis",2
"Eastlake Pharmacy",Schizophrenia,2
"Eastlake Pharmacy",Vasculitis,2
"Eastlake Pharmacy","Anorexia nervosa",1
"Eastlake Pharmacy",Atherosclerosis,1
"Eastlake Pharmacy",Cancer,1
"Eastlake Pharmacy","Chronic fatigue syndrome",1
"Eastlake Pharmacy","Crohn's disease",1
"Eastlake Pharmacy",Dementia,1
"Eastlake Pharmacy","Diabetes mellitus type 2",1
"Eastlake Pharmacy",Epilepsy,1
"Eastlake Pharmacy","Metabolic syndrome",1
"Eastlake Pharmacy","Parkinson's disease",1
"Eastlake Pharmacy",Sarcoidosis,1
"Eastside Pharmacy and Compounding",Total,20
"Eastside Pharmacy and Compounding","Tourette syndrome",2
"Eastside Pharmacy and Compounding","Coronary heart disease",2
"Eastside Pharmacy and Compounding",Sarcoidosis,2
"Eastside Pharmacy and Compounding","Anorexia nervosa",1
"Eastside Pharmacy and Compounding","Anxiety disorder",1
"Eastside Pharmacy and Compounding",Cancer,1
"Eastside Pharmacy and Compounding","Chronic obstructive pulmonary disease",1
"Eastside Pharmacy and Compounding",Dementia,1
"Eastside Pharmacy and Compounding",Depression,1
"Eastside Pharmacy and Compounding","Attention deficit hyperactivity disorder",1
