companyID,companyName,planName,Number_of_claims
3489,"ICICI Lombard GI Co. Ltd.","Health Shield 360",31
3489,"ICICI Lombard GI Co. Ltd.","ICICI LOMBARD COMPLETE HEALTH INSURANCE",38
3489,"ICICI Lombard GI Co. Ltd.","Income Protect",33
3489,"ICICI Lombard GI Co. Ltd.","International Travel Insurance",34
3489,"ICICI Lombard GI Co. Ltd.","Janata Personal Accident",45
3489,"ICICI Lombard GI Co. Ltd.","Optional travel insurance for E-ticket passengers",34
3489,"ICICI Lombard GI Co. Ltd.","Overseas Group Travel Insurance",45
3489,"ICICI Lombard GI Co. Ltd.","Personal Care Insurance Policy",34
3489,"ICICI Lombard GI Co. Ltd.","Personal Protect Policy",38
3489,"ICICI Lombard GI Co. Ltd.","Pravasi Bhartiya Bima Yojana",33
3489,"ICICI Lombard GI Co. Ltd.","Rashtriya Swasthya Bima Yojana",30
3489,"ICICI Lombard GI Co. Ltd.","Ride Safe Travel Insurance",44
3489,"ICICI Lombard GI Co. Ltd.","Voyager Travel Insurance (Group)",46
3827,"United India Insurance Co. Ltd.","Arogya Raksha- Group Health Insurance Scheme",42
3827,"United India Insurance Co. Ltd.","Family Medicare Policy",35
3827,"United India Insurance Co. Ltd.","Maha Bank Swasthya Yojana (Group Health Insurance Scheme)",41
3827,"United India Insurance Co. Ltd.","Super Top-up Medicare Policy",42
4559,"Tata AIG General Insurance Co. Ltd.","Group Credit Secure Plus",103
4559,"Tata AIG General Insurance Co. Ltd.","Saral Suraksha Bima",40
4872,"Raheja QBE General Insurance Co. Ltd.","Group Loan Insurance",42
4987,"Kotak Mahindra General Insurance Co. Ltd.","Kotak Accident Care",45
4987,"Kotak Mahindra General Insurance Co. Ltd.","Kotak Group Health Assure",42
4987,"Kotak Mahindra General Insurance Co. Ltd.","Kotak Secure Shield",44
5173,"Acko General Insurance Ltd.�","Saral Suraksha Bima",43
6293,"Care Health Insurance Co. Ltd","Care Classic",39
6327,"Future Generali India Insurance Co. Ltd.","Alpa Bima � Group",38
6327,"Future Generali India Insurance Co. Ltd.","Future Criticare",33
6327,"Future Generali India Insurance Co. Ltd.","Future Health Protect � Group",35
6327,"Future Generali India Insurance Co. Ltd.","Future Hospicash",44
6327,"Future Generali India Insurance Co. Ltd.","Future Poorna Suraksha � Group",39
6327,"Future Generali India Insurance Co. Ltd.","Group Loan Bima",34
6327,"Future Generali India Insurance Co. Ltd.","Sukshma Hospi-Cash (Micro-Insurance Product)",42
6327,"Future Generali India Insurance Co. Ltd.","Sukshma Hospi-Cash Group (Micro-Insurance Product)",47
6327,"Future Generali India Insurance Co. Ltd.","Surakshit Loan Bima",22
6403,"Bajaj Allianz General Insurance Co Ltd�","Bajaj Allianz Bharat Bhraman Insurance Policy",37
6403,"Bajaj Allianz General Insurance Co Ltd�","E Travel Value policy",36
6403,"Bajaj Allianz General Insurance Co Ltd�","Group Business Travelers Insurance Policy",31
6403,"Bajaj Allianz General Insurance Co Ltd�","Group Hospital Cash Policy",33
6403,"Bajaj Allianz General Insurance Co Ltd�","IRCTC Air Care Policy",37
6403,"Bajaj Allianz General Insurance Co Ltd�","Pravasi Bharatiya Bima Yojana Policy�",47
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Assist Card�",38
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Companion",29
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Elect (Group)",41
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Insurance for E- ticket Passengers-For(IRCTC)",42
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Prime Holiday Insurance Policy (Group)",27
6403,"Bajaj Allianz General Insurance Co Ltd�","Travel Prime Policy",36
6642,"Cholamandalam MS General Insurance Co. Ltd.","Chola Group EMI Protect",31
6642,"Cholamandalam MS General Insurance Co. Ltd.","Chola Mashak (Mosquito) Rakshak-Group",35
6642,"Cholamandalam MS General Insurance Co. Ltd.","Home Care Treatment",29
6642,"Cholamandalam MS General Insurance Co. Ltd.","Saral Suraksha Bima-Group",32
6772,"Future Generali Indis Insurance Co. Ltd","Health Total",35
6942,"Niva Bupa Health Insurance co ltd","Arogya Sanjeevani",37
6942,"Niva Bupa Health Insurance co ltd","Corona Kavach Policy",54
6942,"Niva Bupa Health Insurance co ltd","Group Corona Kavach Policy",48
6942,"Niva Bupa Health Insurance co ltd","Health Plus",39
6942,"Niva Bupa Health Insurance co ltd","Health Pulse",41
6942,"Niva Bupa Health Insurance co ltd","Health Recharge�",32
6942,"Niva Bupa Health Insurance co ltd","Saral Suraksha Bima",30
6942,"Niva Bupa Health Insurance co ltd","Swasthya Suraksha",37
6942,"Niva Bupa Health Insurance co ltd",TravelAssure,33
6951,"Star Health & Allied Insurance Co. Ltd.�","Arogya Sanjeevani Policy",43
6951,"Star Health & Allied Insurance Co. Ltd.�","Diabetes Safe Insurance Policy",34
6951,"Star Health & Allied Insurance Co. Ltd.�","Family Health Optima Insurance Plan",43
6951,"Star Health & Allied Insurance Co. Ltd.�","Family Health Optima�",25
6951,"Star Health & Allied Insurance Co. Ltd.�","Group Arogya Sanjeevani Policy - Star Health and Allied Insurance Co Ltd",32
6951,"Star Health & Allied Insurance Co. Ltd.�","Medi classic Insurance Policy (Individual)",31
6951,"Star Health & Allied Insurance Co. Ltd.�","Saral Suraksha Bima",43
6951,"Star Health & Allied Insurance Co. Ltd.�","Senior Citizens Red Carpet Health Insurance Policy�",37
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Cancer Care Platinum Insurance Policy",41
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Cardiac Care Insurance Policy",43
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Cardiac Care Insurance Policy- Platinum",43
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Comprehensive Insurance Policy",40
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Micro Rural and Farmers Care",23
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Super Surplus (Floater) Insurance Policy",39
6951,"Star Health & Allied Insurance Co. Ltd.�","Star Super Surplus Insurance Policy",32
6951,"Star Health & Allied Insurance Co. Ltd.�","Young Star Insurance Policy",41
7130,"Max Bupa Health Insurance Co. Ltd.","Quick Health",26
7287,"HDFC ERGO General Insurance company Ltd�","my:credit�Comprehensive Suraksha",37
7287,"HDFC ERGO General Insurance company Ltd�","my:health�Comprehensive Suraksha - Group",37
7287,"HDFC ERGO General Insurance company Ltd�","my:health�Critical Illness (Add On)",35
7287,"HDFC ERGO General Insurance company Ltd�","my:health�Critical Suraksha Plus",27
7287,"HDFC ERGO General Insurance company Ltd�","my:health�Women Suraksha",38
7287,"HDFC ERGO General Insurance company Ltd�",Travelsure(Group),33
7330,"Future Generali India Insurance Company Limited.���","Future Vector Care (Group)",34
7330,"Future Generali India Insurance Company Limited.���","Future Vector Care�",29
7459,"HDFC ERGO General Insurance Co. Ltd.�","Easy Travel",32
7459,"HDFC ERGO General Insurance Co. Ltd.�","Easy Travel Group Travel Health�",24
7459,"HDFC ERGO General Insurance Co. Ltd.�",Educare,34
7459,"HDFC ERGO General Insurance Co. Ltd.�","Group Easy Travel Senior",31
7459,"HDFC ERGO General Insurance Co. Ltd.�","Group Travel Insurance",46
7459,"HDFC ERGO General Insurance Co. Ltd.�","HDFC ERGO Group Health Insurance",38
7459,"HDFC ERGO General Insurance Co. Ltd.�","Home Credit Assure Package Insurance",33
7459,"HDFC ERGO General Insurance Co. Ltd.�","Mosquito Disease Protection Policy � Group",35
7459,"HDFC ERGO General Insurance Co. Ltd.�","my: health medisure Super Topup",38
7459,"HDFC ERGO General Insurance Co. Ltd.�","my: Optima Secure",38
7459,"HDFC ERGO General Insurance Co. Ltd.�","my: Sampoorna Suraksha",25
7459,"HDFC ERGO General Insurance Co. Ltd.�","Saral Suraksha Bima",33
7459,"HDFC ERGO General Insurance Co. Ltd.�","Sarv Suraksha Plus (Group)",41
7459,"HDFC ERGO General Insurance Co. Ltd.�","Student Suraksha- Student Overseas Travel",37
7459,"HDFC ERGO General Insurance Co. Ltd.�","Travel Insurance�",35
7580,"Care Health Insurance Co. Ltd�","Group Saral Suraksha Bima-Care Health Insurance",37
7618,"SBI General Insurance Co. Ltd.","Arogya Supreme",38
7710,"National Insurance Co. Ltd.","BoB National Health Policy",36
7825,"Kotak Mahindra General Insurance Company Ltd.","Kotak Group Accident Protect",35
7825,"Kotak Mahindra General Insurance Company Ltd.","Kotak Group Accident Protect - Micro Insurance",40
7825,"Kotak Mahindra General Insurance Company Ltd.","Kotak Group Secure Shield",38
7825,"Kotak Mahindra General Insurance Company Ltd.","Kotak Group Secure Shield - Micro Insurance",39
7844,"Cholamandalam MS General Insurance Co. Ltd","Flexi Max Protect",40
7923,"Aditya Birla Health Insurance Co. Ltd","Additional S.I. for Pandemic and epidemic Rider",38
7923,"Aditya Birla Health Insurance Co. Ltd","Saral Suraksha Bima",36
7923,"Aditya Birla Health Insurance Co. Ltd","Super No Claim Bonus Rider",37
7923,"Aditya Birla Health Insurance Co. Ltd","Super reload Rider",35
7923,"Aditya Birla Health Insurance Co. Ltd","Tele OPD Consultation Rider",37
8136,"Edelweiss General Insurance Co. Ltd.","Edelweiss HealthPlus Policy",41
8247,"Care Health Insurance Ltd.","Care Plus",44
8247,"Care Health Insurance Ltd.","Grameen Care Plus - Micro Insurance Product",28
8267,"The Oriental��Insurance Co. Limited","Oriental - Critical illness policy",51
8267,"The Oriental��Insurance Co. Limited","Oriental Insurance Bank Saathi Policy- Group",39
8737,"Aditya Birla Health Insurance Co. Ltd.","Group Protect",40
8784,"The New India Assurance Co.Ltd.�","Saral Suraksha Bima",37
8799,"Universal Sompo GIC","Group Credit Protection Policy",51
8799,"Universal Sompo GIC","Group Hospital Cash Policy",47
8799,"Universal Sompo GIC","Loan Secure Insurance Policy",29
8983,"SBI General Insurance Co.Ltd.","Arogya Premier Policy",36
8983,"SBI General Insurance Co.Ltd.","Arogya Shield",47
8983,"SBI General Insurance Co.Ltd.","Health Insurance Policy � Retail",38
8983,"SBI General Insurance Co.Ltd.","Hospital Daily Cash -Group",44
8983,"SBI General Insurance Co.Ltd.","Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC",34
8983,"SBI General Insurance Co.Ltd.","�Arogya Plus Policy",34
8983,"SBI General Insurance Co.Ltd.","�Arogya Top up Policy",35
9201,"Go Digit General Insurance Co.Ltd","Digit Group Total Protect Policy",46
9201,"Go Digit General Insurance Co.Ltd","Digit On -the- Move Group Policy",27
9201,"Go Digit General Insurance Co.Ltd","Group Credit Health Policy",43
9461,"Star Health and Allied Insurrance Co.","Family Health Optima Accident Care Policy",40
9461,"Star Health and Allied Insurrance Co.","Star Critical Illness Multipay Insurance Policy",42
9461,"Star Health and Allied Insurrance Co.","Star Group Covid Insurance Policy",31
9461,"Star Health and Allied Insurrance Co.","Star Group Critical Illness Multipay Insurance Policy",70
9822,"United India Insurance Co.Ltd.","Family Medicare Policy",49
9822,"United India Insurance Co.Ltd.","UB Arogyadaan",33
9954,"Navi General Insurance Ltd.","Navi Cure",40
9954,"Navi General Insurance Ltd.","Navi Health",41
9954,"Navi General Insurance Ltd.","Navi Health Accident",39
9954,"Navi General Insurance Ltd.","Navi Health CritiCare",40
9954,"Navi General Insurance Ltd.","Navi Health Group Critical Illness Insurance",37
9954,"Navi General Insurance Ltd.","Navi Health Group Critical Surgery",41
9954,"Navi General Insurance Ltd.","Navi Health Group HospiCash",30
9954,"Navi General Insurance Ltd.","Navi Health Group Insurance",38
9954,"Navi General Insurance Ltd.","Navi Health Group Personal Accident Insurance",41
9954,"Navi General Insurance Ltd.","Navi Health Group Seasonal Byte",50
9954,"Navi General Insurance Ltd.","Navi Health Group Travel Insurance",32
9954,"Navi General Insurance Ltd.","Navi Health HospiCash",41
9954,"Navi General Insurance Ltd.","Navi Health Seasonal Byte",49
9954,"Navi General Insurance Ltd.","Navi Health Super Top Up",45
