pharmacyID,pharmacyName,Prescription_Count,Medicine_Count
6728,"GoGo Meds",11,15
8349,"Grand Medicine",11,15
1766,"Pharma Best",10,15
7985,Centrico,10,15
8852,"Envolve Health",10,15
6931,Wellpharma,9,15
3810,"Trinity Pharmacy",12,14
1248,"New Era",11,14
2640,"Dutchtown Pharmacy",11,14
3831,"Health Mart",11,14
5960,CareFirst,11,14
6706,"Acculife Drug Stores",11,14
6330,"North East Pharmacy",13,13
5605,"Compass Health Care",12,13
8910,"Pure Care Pharmacy",12,13
6863,Wellcare,11,13
3563,Vitasource,10,13
4647,Goodstart,10,13
6029,"Northport Pharmacy",10,13
6847,"Globe Pharmacy",10,13
8933,"Cashway Pharmacy",10,13
8982,"Roosevelt Clinic",10,13
7202,"Essura Pharmacy",9,13
5350,"Health Element",7,13
3104,"Louis And Clark Drug",10,12
8628,Zenrx,9,12
3287,"Ally Scripts",9,11
4663,"Tru Script",9,11
8891,Neighbors,9,11
1570,"White Pigeon Pharmacy",8,11
3724,"Pearl River Pharmacy",10,10
6305,"First Pharmacy",9,10
8911,"Assured Rx",9,10
9169,"Lowry’s Prescriptions",9,10
2209,"Blink Health",6,10
